EmployeeID,TotalDays,PresentDays,AbsentDays,LateDays,AvgWorkingHours,TotalOvertimeHrs,AttendanceRate
71,261,242,19,242,7.42,0.0,92.72
72,261,243,18,241,6.49,0.0,93.1
73,261,235,26,235,6.3,0.0,90.04
74,261,231,30,231,9.32,78.12,88.51
75,261,232,29,230,6.1,0.0,88.89
76,261,238,23,237,7.22,0.0,91.19
77,261,242,19,241,7.1,0.0,92.72
78,261,231,30,227,9.91,211.16,88.51
79,261,230,31,229,10.48,339.89,88.12
80,261,239,22,238,6.91,0.0,91.57
81,261,232,29,230,7.59,0.0,88.89
82,261,244,17,243,6.08,0.0,93.49
83,261,236,25,236,6.0,0.0,90.42
84,261,242,19,241,8.98,27.91,92.72
85,261,238,23,235,10.43,339.43,91.19
86,261,244,17,243,8.39,0.24,93.49
87,261,233,28,232,7.91,0.0,89.27
88,261,237,24,236,7.11,0.0,90.8
89,261,239,22,238,9.69,164.7,91.57
90,261,239,22,237,7.77,0.0,91.57
91,261,237,24,235,6.28,0.0,90.8
92,261,233,28,232,6.31,0.0,89.27
93,261,228,33,228,8.83,13.8,87.36
94,261,231,30,231,7.72,0.0,88.51
95,261,233,28,233,7.32,0.0,89.27
96,261,247,14,245,10.8,444.17,94.64
97,261,245,16,244,10.4,343.33,93.87
98,261,243,18,241,5.99,0.0,93.1
99,261,239,22,238,6.11,0.0,91.57
100,261,244,17,244,8.13,0.09,93.49
101,261,232,29,231,7.31,0.0,88.89
102,261,238,23,237,7.11,0.0,91.19
103,261,235,26,233,6.33,0.0,90.04
104,261,233,28,232,8.13,0.03,89.27
105,261,229,32,229,7.99,0.0,87.74
106,261,231,30,231,10.51,348.6,88.51
107,261,231,30,231,7.99,0.0,88.51
108,261,228,33,227,6.1,0.0,87.36
109,261,233,28,233,7.59,0.0,89.27
110,261,230,31,230,6.89,0.0,88.12
111,261,234,27,234,9.3,75.84,89.66
112,261,246,15,244,10.81,444.3,94.25
113,261,230,31,228,6.0,0.0,88.12
114,261,245,16,243,7.79,0.0,93.87
115,261,236,25,234,7.72,0.0,90.42
116,261,234,27,232,6.19,0.0,89.66
117,261,232,29,231,7.12,0.0,88.89
118,261,240,21,239,7.83,0.0,91.95
119,261,228,33,226,7.62,0.0,87.36
120,261,234,27,233,6.0,0.0,89.66
121,261,235,26,235,9.11,42.71,90.04
122,261,236,25,235,8.68,6.43,90.42
123,261,230,31,229,9.99,228.42,88.12
124,261,231,30,228,6.9,0.0,88.51
125,261,240,21,238,7.0,0.0,91.95
126,261,231,30,230,6.29,0.0,88.51
127,261,236,25,236,6.37,0.0,90.42
128,261,240,21,239,8.19,0.23,91.95
129,261,240,21,240,6.45,0.0,91.95
130,261,230,31,229,6.68,0.0,88.12
131,261,235,26,232,7.48,0.0,90.04
132,261,245,16,244,9.92,225.43,93.87
133,261,235,26,234,7.42,0.0,90.04
134,261,238,23,238,7.5,0.0,91.19
135,261,227,34,227,6.0,0.0,86.97
136,261,234,27,232,6.86,0.0,89.66
137,261,232,29,232,6.13,0.0,88.89
138,261,227,34,226,7.67,0.19,86.97
139,261,238,23,238,8.88,17.81,91.19
140,261,232,29,231,10.9,439.84,88.89
141,261,233,28,232,10.69,394.24,89.27
142,261,232,29,231,7.06,0.0,88.89
143,261,245,16,243,9.01,30.6,93.87
144,261,239,22,239,7.42,0.0,91.57
145,261,245,16,244,7.59,0.0,93.87
146,261,241,20,241,6.62,0.0,92.34
147,261,236,25,236,6.19,0.0,90.42
148,261,236,25,234,6.47,0.0,90.42
149,261,243,18,242,8.2,0.33,93.1
150,261,237,24,233,6.79,0.0,90.8
151,261,235,26,235,7.3,0.0,90.04
152,261,233,28,232,6.82,0.0,89.27
153,261,230,31,228,7.32,0.0,88.12
154,261,232,29,230,6.16,0.0,88.89
155,261,237,24,236,7.61,0.0,90.8
156,261,238,23,237,6.6,0.0,91.19
157,261,236,25,235,10.65,389.15,90.42
158,261,227,34,227,6.2,0.0,86.97
159,261,237,24,237,8.59,2.46,90.8
160,261,230,31,230,6.0,0.0,88.12
161,261,227,34,227,6.28,0.0,86.97
162,261,234,27,234,7.91,0.0,89.66
163,261,242,19,242,7.18,0.0,92.72
164,261,237,24,235,6.65,0.0,90.8
165,261,234,27,234,7.91,0.0,89.66
166,261,239,22,238,6.72,0.0,91.57
167,261,231,30,230,6.29,0.0,88.51
168,261,243,18,243,7.18,0.0,93.1
169,261,240,21,239,6.29,0.0,91.95
170,261,231,30,231,7.22,0.0,88.51
171,261,230,31,230,7.81,0.0,88.12
172,261,242,19,242,6.81,0.0,92.72
173,261,234,27,233,6.48,0.0,89.66
174,261,241,20,240,7.65,0.0,92.34
175,261,234,27,233,7.59,0.0,89.66
176,261,234,27,233,9.18,51.32,89.66
177,261,236,25,232,6.38,0.0,90.42
178,261,234,27,229,8.48,0.63,89.66
179,261,244,17,242,6.97,0.0,93.49
180,261,241,20,239,6.47,0.0,92.34
181,261,242,19,241,8.88,15.62,92.72
182,261,228,33,228,6.59,0.0,87.36
183,261,237,24,235,11.0,472.95,90.8
184,261,236,25,235,7.81,0.0,90.42
185,261,244,17,244,7.23,0.0,93.49
186,261,234,27,233,6.42,0.0,89.66
187,261,231,30,231,6.78,0.0,88.51
188,261,234,27,234,7.39,0.0,89.66
189,261,230,31,228,6.19,0.0,88.12
190,261,233,28,233,6.01,0.0,89.27
191,261,244,17,244,7.3,0.0,93.49
192,261,242,19,240,7.06,0.0,92.72
193,261,242,19,241,8.72,6.1,92.72
194,261,236,25,234,10.81,426.59,90.42
195,261,226,35,224,7.41,0.0,86.59
196,261,244,17,242,9.19,56.74,93.49
197,261,228,33,228,7.39,0.0,87.36
198,261,241,20,240,7.4,0.0,92.34
199,261,234,27,234,6.71,0.0,89.66
200,261,241,20,239,9.23,69.06,92.34
201,261,239,22,239,6.88,0.0,91.57
202,261,230,31,229,9.29,73.22,88.12
203,261,229,32,228,6.02,0.0,87.74
204,261,228,33,228,6.33,0.0,87.36
205,261,237,24,237,6.41,0.0,90.8
206,261,233,28,232,8.75,6.58,89.27
207,261,240,21,238,7.39,0.0,91.95
208,261,228,33,226,6.2,0.0,87.36
209,261,239,22,239,7.71,0.0,91.57
210,261,241,20,241,7.51,0.0,92.34
211,261,244,17,244,9.08,38.19,93.49
212,261,241,20,241,5.99,0.0,92.34
213,261,242,19,242,6.03,0.0,92.72
214,261,239,22,238,6.02,0.0,91.57
215,261,237,24,235,6.9,0.0,90.8
216,261,241,20,240,10.78,429.39,92.34
217,261,231,30,230,8.98,27.25,88.51
218,261,242,19,241,7.38,0.0,92.72
219,261,232,29,231,6.82,0.0,88.89
220,261,244,17,242,6.79,0.0,93.49
221,261,227,34,227,7.41,0.0,86.97
222,261,246,15,243,10.83,449.06,94.25
223,261,233,28,232,6.88,0.0,89.27
224,261,231,30,230,8.91,17.6,88.51
225,261,239,22,239,6.68,0.0,91.57
226,261,239,22,237,7.92,0.0,91.57
227,261,234,27,231,6.31,0.0,89.66
228,261,239,22,238,7.89,0.0,91.57
229,261,243,18,243,8.88,15.78,93.1
230,261,242,19,241,7.09,0.0,92.72
231,261,235,26,233,7.49,0.0,90.04
232,261,245,16,245,8.69,5.48,93.87
233,261,242,19,241,6.8,0.0,92.72
234,261,243,18,242,9.13,45.65,93.1
235,261,237,24,237,7.02,0.0,90.8
236,261,228,33,228,6.7,0.0,87.36
237,261,233,28,232,8.4,0.48,89.27
238,261,239,22,238,6.48,0.0,91.57
239,261,230,31,229,7.23,0.0,88.12
240,261,231,30,228,8.69,5.43,88.51
241,261,227,34,226,6.04,0.0,86.97
242,261,235,26,235,7.28,0.0,90.04
243,261,242,19,241,9.38,94.69,92.72
244,261,237,24,237,7.31,0.0,90.8
245,261,235,26,232,7.11,0.0,90.04
246,261,239,22,239,7.44,0.0,91.57
247,261,228,33,226,7.57,0.0,87.36
248,261,244,17,243,9.96,235.02,93.49
249,261,238,23,238,6.21,0.0,91.19
250,261,234,27,231,6.81,0.0,89.66
251,261,237,24,237,6.66,0.0,90.8
252,261,242,19,242,7.51,0.0,92.72
253,261,228,33,225,6.41,0.0,87.36
254,261,237,24,236,10.7,403.6,90.8
255,261,230,31,228,7.0,0.0,88.12
256,261,238,23,236,8.63,3.24,91.19
257,261,246,15,246,10.4,345.05,94.25
258,261,231,30,229,6.73,0.0,88.51
259,261,234,27,234,7.09,0.0,89.66
260,261,241,20,239,7.68,0.0,92.34
261,261,242,19,241,6.8,0.0,92.72
262,261,229,32,229,7.81,0.0,87.74
263,261,230,31,229,7.1,0.0,88.12
264,261,234,27,234,8.89,17.03,89.66
265,261,229,32,228,7.6,0.0,87.74
266,261,246,15,246,9.12,45.24,94.25
267,261,232,29,229,6.82,0.0,88.89
268,261,241,20,240,7.51,0.0,92.34
269,261,233,28,233,6.71,0.0,89.27
270,261,234,27,233,7.9,0.11,89.66
271,261,246,15,244,8.21,0.0,94.25
272,261,233,28,232,7.17,0.0,89.27
273,261,231,30,231,6.51,0.0,88.51
274,261,230,31,228,7.93,0.0,88.12
275,261,231,30,230,6.72,0.0,88.51
276,261,242,19,242,8.62,4.41,92.72
277,261,230,31,230,6.76,0.0,88.12
278,261,227,34,227,7.71,0.0,86.97
279,261,237,24,237,6.61,0.0,90.8
280,261,237,24,237,7.35,0.0,90.8
281,261,233,28,232,6.17,0.0,89.27
282,261,227,34,226,7.39,0.0,86.97
283,261,229,32,226,8.1,0.0,87.74
284,261,238,23,236,6.02,0.0,91.19
285,261,229,32,229,9.81,186.71,87.74
286,261,241,20,238,6.11,0.0,92.34
287,261,229,32,229,8.31,0.25,87.74
288,261,233,28,230,7.52,0.0,89.27
289,261,243,18,243,6.41,0.0,93.1
290,261,239,22,239,10.01,240.3,91.57
291,261,236,25,234,7.1,0.0,90.42
292,261,243,18,243,6.41,0.0,93.1
293,261,231,30,230,7.8,0.0,88.51
294,261,241,20,240,6.3,0.0,92.34
295,261,233,28,232,7.14,0.0,89.27
296,261,234,27,234,8.8,9.63,89.66
297,261,244,17,244,7.5,0.0,93.49
298,261,229,32,227,7.08,0.0,87.74
299,261,227,34,227,6.28,0.0,86.97
300,261,231,30,231,7.1,0.0,88.51
301,261,227,34,226,7.81,0.0,86.97
302,261,237,24,236,10.9,450.97,90.8
303,261,238,23,236,6.19,0.0,91.19
304,261,230,31,229,5.99,0.0,88.12
305,261,238,23,237,10.05,249.91,91.19
306,261,232,29,232,7.68,0.0,88.89
307,261,235,26,234,5.98,0.0,90.04
308,261,232,29,230,7.98,0.0,88.89
309,261,232,29,232,10.01,233.94,88.89
310,261,244,17,244,7.78,0.0,93.49
311,261,239,22,236,7.98,0.0,91.57
312,261,232,29,232,7.4,0.0,88.89
313,261,242,19,242,7.21,0.0,92.72
314,261,232,29,231,7.08,0.0,88.89
315,261,240,21,240,6.29,0.0,91.95
316,261,230,31,229,6.19,0.0,88.12
317,261,239,22,234,6.2,0.0,91.57
318,261,244,17,244,8.91,18.19,93.49
319,261,238,23,238,6.81,0.0,91.19
320,261,243,18,242,9.46,113.66,93.1
321,261,242,19,241,10.81,438.14,92.72
322,261,231,30,230,6.92,0.0,88.51
323,261,244,17,242,7.8,0.0,93.49
324,261,228,33,228,7.17,0.0,87.36
325,261,243,18,239,6.45,0.0,93.1
326,261,229,32,228,7.94,0.0,87.74
327,261,242,19,240,7.82,0.0,92.72
328,261,237,24,235,7.98,0.0,90.8
329,261,241,20,240,6.82,0.0,92.34
330,261,237,24,235,6.07,0.0,90.8
331,261,236,25,235,6.41,0.0,90.42
332,261,248,13,246,10.7,420.49,95.02
333,261,241,20,240,6.99,0.0,92.34
334,261,242,19,242,7.99,0.0,92.72
335,261,238,23,238,9.47,113.9,91.19
336,261,228,33,228,7.72,0.0,87.36
337,261,233,28,232,7.73,0.0,89.27
338,261,232,29,231,8.9,18.21,88.89
339,261,237,24,236,7.78,0.0,90.8
340,261,232,29,231,10.47,341.54,88.89
341,261,230,31,230,6.2,0.0,88.12
342,261,228,33,228,6.62,0.0,87.36
343,261,231,30,231,7.99,0.0,88.51
344,261,232,29,232,6.89,0.0,88.89
345,261,245,16,244,9.38,95.19,93.87
346,261,231,30,231,6.62,0.0,88.51
347,261,243,18,241,7.58,0.0,93.1
348,261,242,19,240,7.6,0.0,92.72
349,261,235,26,235,6.87,0.0,90.04
350,261,231,30,230,6.29,0.0,88.51
351,261,228,33,228,6.38,0.0,87.36
352,261,231,30,231,7.33,0.0,88.51
353,261,234,27,232,10.49,349.61,89.66
354,261,238,23,238,6.99,0.0,91.19
355,261,244,17,243,9.91,222.11,93.49
356,261,242,19,241,6.89,0.0,92.72
357,261,230,31,230,8.0,0.0,88.12
358,261,245,16,243,7.31,0.0,93.87
359,261,231,30,230,6.11,0.0,88.51
360,261,239,22,239,6.32,0.0,91.57
361,261,238,23,237,6.42,0.0,91.19
362,261,241,20,240,6.02,0.0,92.34
363,261,231,30,230,6.9,0.0,88.51
364,261,235,26,235,9.7,165.47,90.04
365,261,234,27,234,7.79,0.0,89.66
366,261,230,31,230,6.41,0.0,88.12
367,261,245,16,245,10.39,340.83,93.87
368,261,237,24,237,8.52,1.05,90.8
369,261,242,19,241,6.59,0.0,92.72
370,261,234,27,234,7.59,0.0,89.66
371,261,241,20,239,6.1,0.0,92.34
372,261,227,34,226,6.29,0.0,86.97
373,261,232,29,231,6.48,0.0,88.89
374,261,241,20,241,10.98,478.06,92.34
375,261,230,31,229,8.01,0.0,88.12
376,261,242,19,241,7.59,0.0,92.72
377,261,243,18,241,10.41,342.54,93.1
378,261,229,32,229,8.8,10.87,87.74
379,261,231,30,229,10.0,231.11,88.51
380,261,229,32,229,7.89,0.0,87.74
381,261,237,24,237,7.8,0.0,90.8
382,261,241,20,239,7.47,0.0,92.34
383,261,230,31,227,7.56,0.0,88.12
384,261,235,26,233,6.81,0.0,90.04
385,261,236,25,233,6.99,0.0,90.42
386,261,239,22,239,9.61,147.16,91.57
387,261,240,21,237,10.1,263.6,91.95
388,261,242,19,241,9.39,99.93,92.72
389,261,233,28,232,6.37,0.0,89.27
390,261,236,25,236,7.1,0.0,90.42
391,261,235,26,235,7.41,0.0,90.04
392,261,244,17,241,6.67,0.0,93.49
393,261,234,27,230,7.59,0.0,89.66
394,261,244,17,243,10.68,410.63,93.49
395,261,237,24,236,8.31,0.08,90.8
396,261,228,33,228,6.61,0.0,87.36
397,261,245,16,245,6.88,0.0,93.87
398,261,235,26,233,9.42,100.52,90.04
399,261,247,14,245,10.03,253.18,94.64
400,261,237,24,236,6.45,0.0,90.8
401,261,239,22,235,9.77,185.05,91.57
402,261,227,34,227,6.42,0.0,86.97
403,261,244,17,243,10.5,366.1,93.49
404,261,241,20,240,6.58,0.0,92.34
405,261,234,27,233,7.11,0.0,89.66
406,261,245,16,245,7.88,0.0,93.87
407,261,244,17,243,10.3,316.65,93.49
408,261,237,24,237,8.49,1.22,90.8
409,261,241,20,241,9.8,193.36,92.34
410,261,231,30,230,10.41,325.82,88.51
411,261,236,25,234,7.68,0.0,90.42
412,261,239,22,238,10.67,398.24,91.57
413,261,239,22,238,7.68,0.0,91.57
414,261,246,15,245,7.72,0.0,94.25
415,261,228,33,227,6.88,0.0,87.36
416,261,238,23,237,10.55,368.48,91.19
417,261,239,22,239,8.32,0.5,91.57
418,261,243,18,243,6.08,0.0,93.1
419,261,238,23,237,10.38,328.55,91.19
420,261,232,29,230,6.99,0.0,88.89
421,261,239,22,239,6.7,0.0,91.57
422,261,244,17,242,7.08,0.0,93.49
423,261,239,22,238,6.5,0.0,91.57
424,261,244,17,243,7.08,0.0,93.49
425,261,242,19,242,7.08,0.0,92.72
426,261,233,28,232,8.9,18.27,89.27
427,261,226,35,225,6.07,0.0,86.59
428,261,241,20,240,7.64,0.0,92.34
429,261,233,28,230,10.71,399.33,89.27
430,261,238,23,238,7.1,0.0,91.19
431,261,241,20,241,10.62,389.22,92.34
432,261,242,19,241,6.08,0.0,92.72
433,261,231,30,229,8.33,0.49,88.51
434,261,245,16,245,8.14,0.03,93.87
435,261,235,26,235,7.89,0.0,90.04
436,261,237,24,237,9.81,191.15,90.8
437,261,244,17,242,6.02,0.0,93.49
438,261,226,35,225,6.27,0.0,86.59
439,261,237,24,235,6.31,0.0,90.8
440,261,229,32,229,7.62,0.0,87.74
441,261,237,24,237,6.37,0.0,90.8
442,261,238,23,236,6.99,0.0,91.19
443,261,230,31,228,7.48,0.0,88.12
444,261,242,19,242,6.52,0.0,92.72
445,261,229,32,229,8.0,0.03,87.74
446,261,228,33,225,8.1,0.0,87.36
447,261,237,24,236,7.32,0.0,90.8
448,261,230,31,230,6.51,0.0,88.12
449,261,237,24,236,9.47,114.38,90.8
450,261,235,26,235,10.09,256.53,90.04
451,261,242,19,241,6.81,0.0,92.72
452,261,238,23,237,8.19,0.0,91.19
453,261,232,29,231,7.93,0.0,88.89
454,261,236,25,236,10.28,302.3,90.42
455,261,244,17,243,7.52,0.0,93.49
456,261,241,20,241,7.01,0.0,92.34
457,261,230,31,228,7.39,0.0,88.12
458,261,241,20,241,8.98,26.15,92.34
459,261,231,30,230,7.91,0.0,88.51
460,261,233,28,233,7.08,0.0,89.27
461,261,242,19,242,8.7,7.34,92.72
462,261,242,19,240,7.97,0.0,92.72
463,261,235,26,235,10.51,353.7,90.04
464,261,243,18,241,9.48,118.08,93.1
465,261,244,17,243,7.7,0.0,93.49
466,261,242,19,239,6.89,0.0,92.72
467,261,244,17,244,6.59,0.0,93.49
468,261,232,29,232,9.32,78.44,88.89
469,261,242,19,242,6.3,0.0,92.72
470,261,235,26,233,6.31,0.0,90.04
471,261,230,31,230,6.6,0.0,88.12
472,261,240,21,239,9.59,142.59,91.95
473,261,233,28,231,10.12,260.47,89.27
474,261,241,20,241,8.31,0.3,92.34
475,261,228,33,228,7.61,0.0,87.36
476,261,230,31,228,7.93,0.0,88.12
477,261,228,33,227,7.33,0.0,87.36
478,261,243,18,240,7.98,0.0,93.1
479,261,231,30,231,6.54,0.0,88.51
480,261,238,23,235,6.89,0.0,91.19
481,261,237,24,236,7.1,0.0,90.8
482,261,243,18,242,7.29,0.0,93.1
483,261,238,23,238,6.93,0.0,91.19
484,261,228,33,228,8.03,0.03,87.36
485,261,236,25,233,6.19,0.0,90.42
486,261,245,16,244,10.11,270.89,93.87
487,261,234,27,233,6.59,0.0,89.66
488,261,236,25,235,8.63,4.14,90.42
489,261,227,34,226,6.27,0.0,86.97
490,261,228,33,228,8.38,0.35,87.36
491,261,233,28,232,7.66,0.0,89.27
492,261,236,25,236,6.01,0.0,90.42
493,261,244,17,244,10.9,463.1,93.49
494,261,228,33,228,6.44,0.0,87.36
495,261,241,20,241,7.83,0.0,92.34
496,261,240,21,240,10.82,436.74,91.95
497,261,235,26,234,7.63,0.0,90.04
498,261,243,18,240,7.4,0.0,93.1
499,261,238,23,238,7.2,0.0,91.19
500,261,243,18,240,7.06,0.0,93.1
501,261,241,20,239,8.11,0.0,92.34
502,261,244,17,243,6.67,0.0,93.49
503,261,242,19,242,7.78,0.0,92.72
504,261,234,27,233,6.08,0.0,89.66
505,261,231,30,230,8.21,0.0,88.51
506,261,244,17,244,9.22,64.54,93.49
507,261,242,19,240,7.77,0.0,92.72
508,261,238,23,237,7.59,0.0,91.19
509,261,234,27,234,9.6,139.89,89.66
510,261,230,31,225,7.26,0.0,88.12
511,261,226,35,226,6.12,0.0,86.59
512,261,245,16,244,7.71,0.0,93.87
513,261,234,27,233,7.4,0.0,89.66
514,261,237,24,237,7.57,0.0,90.8
515,261,233,28,232,6.91,0.0,89.27
516,261,232,29,232,6.61,0.0,88.89
517,261,227,34,227,6.11,0.0,86.97
518,261,241,20,241,7.93,0.0,92.34
519,261,243,18,243,9.11,43.01,93.1
520,261,229,32,228,6.62,0.0,87.74
521,261,239,22,238,10.99,475.34,91.57
522,261,242,19,242,8.72,3.86,92.72
523,261,233,28,231,7.42,0.0,89.27
524,261,231,30,231,7.52,0.0,88.51
525,261,243,18,242,6.25,0.0,93.1
526,261,237,24,237,7.88,0.0,90.8
527,261,230,31,230,7.29,0.0,88.12
528,261,238,23,237,7.92,0.0,91.19
529,261,243,18,243,8.01,0.0,93.1
530,261,231,30,230,6.73,0.0,88.51
531,261,243,18,243,6.61,0.0,93.1
532,261,241,20,239,6.19,0.0,92.34
533,261,233,28,233,6.41,0.0,89.27
534,261,234,27,232,9.81,190.27,89.66
535,261,229,32,229,7.8,0.0,87.74
536,261,246,15,246,6.67,0.0,94.25
537,261,234,27,233,6.69,0.0,89.66
538,261,245,16,242,10.58,387.7,93.87
539,261,240,21,238,10.9,455.99,91.95
540,261,233,28,231,7.81,0.0,89.27
541,261,234,27,233,10.21,283.46,89.66
542,261,244,17,244,6.78,0.0,93.49
543,261,235,26,233,6.3,0.0,90.04
544,261,246,15,246,10.46,359.95,94.25
545,261,243,18,242,8.04,0.0,93.1
546,261,229,32,229,7.12,0.0,87.74
547,261,228,33,227,6.21,0.0,87.36
548,261,232,29,232,6.02,0.0,88.89
549,261,242,19,241,7.98,0.0,92.72
550,261,247,14,246,10.7,419.36,94.64
551,261,230,31,229,6.32,0.0,88.12
552,261,237,24,236,6.9,0.0,90.8
553,261,238,23,238,6.4,0.0,91.19
554,261,232,29,232,7.39,0.0,88.89
555,261,244,17,244,7.12,0.0,93.49
556,261,233,28,231,7.2,0.0,89.27
557,261,243,18,242,5.98,0.0,93.1
558,261,236,25,234,10.52,358.42,90.42
559,261,233,28,233,6.2,0.0,89.27
560,261,230,31,228,7.2,0.0,88.12
561,261,228,33,228,6.61,0.0,87.36
562,261,228,33,225,7.48,0.0,87.36
563,261,229,32,229,6.6,0.0,87.74
564,261,230,31,230,7.17,0.0,88.12
565,261,230,31,229,8.03,0.0,88.12
566,261,232,29,231,7.1,0.0,88.89
567,261,246,15,246,7.2,0.0,94.25
568,261,245,16,245,10.9,465.15,93.87
569,261,226,35,225,6.52,0.0,86.59
570,261,236,25,234,10.68,397.6,90.42
571,261,234,27,233,6.99,0.0,89.66
572,261,234,27,232,8.98,25.14,89.66
573,261,238,23,236,8.12,0.0,91.19
574,261,231,30,231,7.13,0.0,88.51
575,261,244,17,244,8.0,0.0,93.49
576,261,233,28,230,7.42,0.0,89.27
577,261,230,31,229,7.09,0.0,88.12
578,261,242,19,241,6.8,0.0,92.72
579,261,239,22,239,6.79,0.0,91.57
580,261,234,27,233,6.71,0.0,89.66
581,261,231,30,230,8.02,0.0,88.51
582,261,231,30,229,7.69,0.0,88.51
583,261,227,34,224,7.07,0.0,86.97
584,261,228,33,227,7.91,0.0,87.36
585,261,238,23,238,10.29,307.27,91.19
586,261,243,18,242,7.52,0.0,93.1
587,261,241,20,240,7.69,0.0,92.34
588,261,241,20,239,10.52,365.28,92.34
589,261,237,24,235,6.9,0.0,90.8
590,261,243,18,243,7.49,0.0,93.1
591,261,240,21,239,7.99,0.0,91.95
592,261,242,19,242,7.51,0.0,92.72
593,261,228,33,228,6.59,0.0,87.36
594,261,226,35,225,6.28,0.0,86.59
595,261,238,23,238,7.47,0.0,91.19
596,261,239,22,238,7.29,0.0,91.57
597,261,244,17,244,8.8,12.39,93.49
598,261,243,18,243,6.78,0.0,93.1
599,261,234,27,231,6.7,0.0,89.66
600,261,231,30,231,10.4,323.97,88.51
601,261,243,18,243,6.0,0.0,93.1
602,261,237,24,235,8.89,17.1,90.8
603,261,237,24,237,9.88,208.34,90.8
604,261,236,25,235,5.99,0.0,90.42
605,261,232,29,231,6.17,0.0,88.89
606,261,237,24,237,7.82,0.0,90.8
607,261,240,21,237,7.18,0.0,91.95
608,261,234,27,234,7.49,0.0,89.66
609,261,226,35,224,6.79,0.0,86.59
610,261,239,22,237,7.23,0.0,91.57
611,261,226,35,226,7.2,0.0,86.59
612,261,237,24,237,7.29,0.0,90.8
613,261,236,25,235,8.5,1.69,90.42
614,261,227,34,226,6.56,0.0,86.97
615,261,226,35,226,6.02,0.0,86.59
616,261,229,32,228,6.58,0.0,87.74
617,261,242,19,242,6.01,0.0,92.72
618,261,237,24,236,7.59,0.0,90.8
619,261,238,23,238,6.28,0.0,91.19
620,261,230,31,230,6.22,0.0,88.12
621,261,240,21,240,7.5,0.0,91.95
622,261,239,22,238,8.62,2.94,91.57
623,261,235,26,235,7.27,0.0,90.04
624,261,234,27,234,8.39,0.31,89.66
625,261,238,23,238,8.04,0.0,91.19
626,261,234,27,233,6.06,0.0,89.66
627,261,230,31,227,7.29,0.0,88.12
628,261,244,17,243,8.01,0.0,93.49
629,261,238,23,238,9.18,56.14,91.19
630,261,245,16,244,9.53,130.8,93.87
