EmployeeID,ProjectID,RoleInProject,HoursWorked,CompletionStatus,ProjectScore
52,7,Lead,153.2,In Progress,9.51
52,6,Lead,247.7,Delayed,5.76
53,15,Developer,292.5,Delayed,6.05
53,10,Developer,44.2,Delayed,6.23
53,6,Developer,315.2,Completed,5.89
54,10,Developer,193.2,Completed,8.6
54,9,Coordinator,274.4,Completed,5.62
55,2,Manager,244.4,In Progress,9.88
56,6,Manager,241.2,Delayed,5.26
56,9,Developer,261.8,In Progress,8.48
57,2,Designer,204.0,In Progress,8.13
58,8,Coordinator,67.3,Delayed,5.17
58,6,Coordinator,114.9,Completed,5.42
59,13,Manager,248.4,Delayed,7.3
59,4,Lead,115.1,Delayed,5.54
59,9,Coordinator,255.3,In Progress,7.89
60,9,Analyst,309.6,In Progress,8.3
60,15,QA,171.6,Delayed,5.42
61,12,Lead,385.4,Delayed,6.22
62,13,Analyst,198.4,In Progress,6.14
62,8,Manager,229.5,Delayed,5.02
62,15,Developer,288.5,Delayed,9.98
63,3,Coordinator,272.0,Delayed,9.97
63,10,Coordinator,328.6,Completed,8.13
63,14,Coordinator,218.9,Completed,9.15
64,2,Developer,347.9,Delayed,6.52
64,15,Developer,226.8,Completed,9.81
64,12,Lead,216.8,Delayed,6.35
65,4,Manager,268.2,Delayed,6.66
66,2,Manager,298.5,Completed,9.91
66,14,QA,295.6,In Progress,9.8
67,14,Manager,316.1,Delayed,7.54
67,5,Analyst,109.0,Delayed,6.85
68,6,Coordinator,99.3,Completed,6.41
68,10,Manager,50.3,In Progress,7.15
69,4,QA,155.3,Completed,7.43
70,13,Lead,62.6,Delayed,8.5
70,2,Developer,290.6,Completed,8.78
70,14,Coordinator,232.8,In Progress,5.03
71,3,Designer,144.3,In Progress,9.87
72,1,Developer,51.7,In Progress,6.53
73,9,Analyst,390.0,Delayed,7.37
73,6,Designer,150.7,Completed,8.06
73,1,Analyst,131.6,Delayed,8.48
74,9,Coordinator,364.6,In Progress,7.65
75,12,Lead,188.4,Completed,9.98
75,13,Developer,374.6,Completed,6.48
75,7,Manager,382.8,In Progress,5.94
76,3,Designer,325.5,Delayed,6.5
77,11,Lead,351.0,Delayed,6.0
77,10,Analyst,187.3,Delayed,9.35
77,6,Designer,117.5,Completed,9.72
78,14,QA,171.7,Delayed,9.98
79,13,Manager,118.4,Delayed,6.0
80,10,Developer,80.0,Delayed,5.58
81,15,Analyst,215.0,In Progress,9.15
82,4,Coordinator,366.9,Delayed,5.9
82,9,Coordinator,128.5,In Progress,5.7
83,2,Lead,258.2,Delayed,6.29
83,9,Manager,376.1,Delayed,5.39
84,6,Coordinator,307.4,Completed,8.41
84,4,Designer,142.7,Completed,9.61
84,8,Coordinator,306.2,In Progress,5.24
85,1,Lead,254.5,In Progress,9.74
85,14,Manager,103.1,Completed,5.27
86,15,Coordinator,321.1,In Progress,7.88
87,9,Developer,106.7,In Progress,6.24
87,5,Analyst,240.7,In Progress,8.64
88,11,QA,231.6,In Progress,6.61
89,7,Manager,220.9,In Progress,5.01
89,9,Developer,294.5,Delayed,8.33
89,10,Designer,197.5,In Progress,7.86
90,4,QA,225.3,Completed,7.17
90,11,Manager,197.0,Completed,9.47
91,7,Lead,347.2,In Progress,7.13
91,4,Developer,394.2,In Progress,9.2
91,6,Lead,218.1,Completed,9.76
92,2,QA,357.0,In Progress,5.07
93,12,QA,65.9,In Progress,9.07
93,7,Analyst,102.3,Delayed,7.3
93,4,Designer,65.5,Completed,5.71
94,11,Designer,71.4,In Progress,9.03
95,4,Coordinator,55.6,In Progress,6.4
95,2,Coordinator,279.3,Delayed,9.09
95,10,Developer,343.1,In Progress,9.96
96,7,Developer,85.2,Completed,9.68
96,1,Developer,286.1,Completed,9.92
96,2,Lead,330.8,In Progress,7.35
97,11,Manager,283.4,Delayed,7.56
98,1,QA,162.5,Delayed,6.35
98,5,Developer,273.6,In Progress,7.13
99,12,Coordinator,120.6,Delayed,5.95
99,3,Analyst,293.1,Delayed,7.07
100,10,Manager,227.2,In Progress,9.8
100,14,QA,384.3,Delayed,8.8
101,13,Lead,399.0,In Progress,7.96
101,8,Designer,188.7,Completed,9.02
101,11,Analyst,275.6,Completed,8.05
102,3,Lead,218.9,Completed,8.18
103,15,Lead,133.1,Delayed,9.66
103,3,Designer,320.5,Delayed,6.65
104,2,QA,76.2,Completed,8.38
104,12,QA,155.2,Completed,8.11
104,5,Lead,54.4,Completed,9.12
105,15,Analyst,47.2,Delayed,6.38
105,9,QA,361.4,In Progress,7.02
106,4,QA,372.2,In Progress,6.57
106,6,Developer,358.8,Completed,6.59
106,11,QA,53.4,Delayed,7.5
107,15,Developer,172.9,Completed,9.46
107,7,Designer,273.9,In Progress,9.08
108,3,Analyst,58.2,Completed,9.99
108,8,Analyst,158.6,Delayed,5.43
109,9,Developer,174.1,Completed,7.45
109,2,Designer,344.0,Completed,7.41
109,7,Coordinator,393.4,Completed,6.38
110,5,Analyst,249.8,Delayed,7.84
111,9,Developer,334.1,Completed,7.45
111,14,QA,147.8,In Progress,6.94
112,9,Manager,211.6,Completed,8.8
113,14,Designer,381.7,In Progress,8.27
114,8,Designer,197.0,Delayed,9.93
114,7,Lead,299.3,Delayed,7.41
115,12,Lead,157.4,In Progress,5.63
115,11,Lead,47.7,Completed,6.14
116,12,Developer,295.2,Completed,9.59
116,6,QA,214.4,In Progress,6.47
116,11,Analyst,365.3,Completed,9.14
117,10,Developer,271.6,Delayed,5.52
118,2,Developer,316.0,In Progress,6.03
118,1,Manager,211.4,Delayed,8.58
119,4,Manager,361.7,Completed,6.69
120,5,Developer,61.4,In Progress,8.8
120,4,Analyst,289.9,Delayed,6.8
120,8,Coordinator,139.3,Delayed,8.91
121,4,Coordinator,224.5,Delayed,9.14
121,9,Manager,212.4,Completed,6.82
122,12,QA,118.5,Completed,9.73
122,10,Coordinator,263.1,In Progress,7.51
122,2,Coordinator,175.2,In Progress,5.23
123,8,Designer,79.4,In Progress,8.61
123,9,Developer,325.7,Completed,6.27
124,11,Lead,302.5,In Progress,8.97
124,12,QA,141.7,Delayed,7.74
124,5,Developer,81.5,Delayed,5.83
125,14,Analyst,315.6,In Progress,8.06
126,9,Designer,233.7,Completed,8.32
127,13,Developer,333.1,Delayed,7.41
127,8,Lead,224.1,Delayed,5.45
128,11,Lead,53.4,Delayed,5.78
129,15,Coordinator,145.3,Completed,7.05
129,13,Developer,357.4,Delayed,5.54
130,12,QA,163.3,In Progress,9.64
130,15,Coordinator,218.8,In Progress,7.41
131,14,Developer,212.2,In Progress,8.11
132,5,Manager,389.0,Completed,5.43
133,10,Developer,45.2,Completed,6.79
133,15,Manager,63.8,Delayed,9.89
133,3,QA,284.3,Completed,7.57
134,13,Coordinator,59.5,In Progress,8.61
135,11,Developer,366.6,In Progress,5.26
135,8,Analyst,70.0,Completed,5.2
136,12,Coordinator,44.8,Completed,9.91
136,5,Manager,50.9,Completed,10.0
137,3,Coordinator,294.9,In Progress,6.12
137,13,Analyst,224.5,In Progress,6.65
137,12,Analyst,104.1,In Progress,8.53
138,12,Lead,80.5,Delayed,5.54
138,5,Designer,385.7,In Progress,5.13
138,9,Developer,347.9,In Progress,6.71
139,6,Designer,169.2,Completed,8.15
139,2,Manager,356.8,Completed,8.9
140,11,QA,287.9,In Progress,5.03
140,1,Designer,291.5,In Progress,7.71
141,4,Lead,48.3,Delayed,5.79
142,5,Lead,87.7,Delayed,7.0
143,2,Manager,92.8,Completed,7.15
143,15,Analyst,170.4,Completed,8.35
144,10,Analyst,293.8,Delayed,9.18
144,2,Analyst,387.2,Delayed,8.92
145,5,Manager,216.7,Delayed,8.93
146,1,Analyst,114.9,Delayed,7.18
147,2,Coordinator,128.1,Delayed,8.34
147,15,QA,81.4,In Progress,8.24
148,11,Coordinator,367.9,Delayed,6.84
148,4,Lead,226.0,Completed,9.08
148,7,Coordinator,179.1,Completed,6.89
149,3,Analyst,264.1,Completed,8.98
149,15,Analyst,383.6,Completed,7.55
149,4,Developer,300.8,Delayed,8.98
150,12,Designer,93.9,Delayed,7.13
151,9,Manager,376.9,Delayed,5.39
151,3,Analyst,76.3,Delayed,6.85
151,8,Designer,193.4,In Progress,7.33
152,7,QA,99.1,Delayed,7.3
152,10,QA,236.5,Delayed,5.77
153,14,QA,139.2,Completed,6.86
154,4,Designer,181.8,Completed,9.04
154,5,Developer,195.4,In Progress,5.97
155,7,Lead,231.4,Completed,7.48
155,13,Designer,180.5,In Progress,8.5
155,10,Coordinator,387.7,Delayed,9.09
156,15,Coordinator,260.8,Delayed,7.91
156,10,Lead,77.0,Completed,8.23
156,11,Coordinator,240.0,In Progress,7.58
157,5,Analyst,283.1,In Progress,7.5
158,4,QA,206.2,Delayed,9.47
158,8,Manager,313.3,Completed,5.19
159,12,Coordinator,397.1,Completed,8.43
160,15,Analyst,93.5,Delayed,9.67
161,14,QA,362.5,Completed,7.17
161,9,Designer,226.0,Delayed,8.06
161,6,Lead,349.5,In Progress,5.8
162,10,QA,241.9,In Progress,5.14
163,12,Developer,272.0,In Progress,7.15
163,10,QA,252.5,Delayed,7.86
164,4,QA,216.7,Delayed,7.2
164,8,QA,115.7,Delayed,5.66
164,14,Manager,367.1,Completed,5.24
165,10,Analyst,374.7,Completed,9.23
165,8,Coordinator,244.4,In Progress,8.25
166,8,Coordinator,278.2,In Progress,9.99
166,13,Analyst,287.3,In Progress,5.03
166,1,Coordinator,238.8,In Progress,5.07
167,15,Developer,288.0,In Progress,9.12
167,3,Lead,351.8,In Progress,7.54
167,11,QA,184.7,In Progress,9.36
168,5,Analyst,148.0,In Progress,9.07
168,7,Designer,99.2,Delayed,5.52
169,12,Developer,186.5,Completed,7.71
170,3,Manager,181.6,Completed,8.82
170,15,Developer,48.6,Delayed,9.02
170,1,Manager,359.7,In Progress,5.54
171,4,Coordinator,211.1,Completed,7.87
172,6,Designer,380.2,Delayed,7.32
172,1,Designer,385.9,In Progress,5.28
173,4,Analyst,261.6,Completed,5.19
173,10,Developer,262.5,Completed,7.66
173,13,Analyst,134.0,In Progress,9.48
174,13,Developer,158.6,Completed,6.03
174,2,Analyst,67.1,Completed,8.97
174,4,Manager,398.9,Completed,7.17
175,14,QA,349.8,Delayed,5.99
175,8,Developer,198.0,Delayed,7.26
175,2,Coordinator,300.2,Completed,6.86
176,15,Manager,311.6,Delayed,6.34
176,7,QA,90.1,In Progress,5.57
177,2,Developer,288.4,Completed,8.68
178,7,Coordinator,136.8,Delayed,5.77
178,11,Developer,362.4,Delayed,6.7
178,15,Lead,230.9,Completed,7.98
179,12,Designer,346.4,In Progress,9.29
179,13,Lead,252.4,In Progress,9.89
180,9,Coordinator,344.5,In Progress,6.91
181,4,Coordinator,337.6,Delayed,9.24
181,3,Coordinator,267.7,Delayed,5.82
181,1,Lead,210.5,Completed,5.87
182,7,Analyst,358.9,Delayed,8.67
182,13,Designer,178.8,Delayed,5.06
182,12,Analyst,233.6,Delayed,9.84
183,13,Coordinator,93.8,Delayed,8.74
183,7,Lead,366.1,Delayed,9.12
183,4,Coordinator,113.8,Completed,5.29
184,7,Designer,215.4,Completed,7.32
185,9,QA,300.3,In Progress,6.59
186,15,Designer,137.4,Delayed,9.73
186,10,Lead,311.9,In Progress,7.83
187,2,Designer,85.4,Completed,9.78
188,13,QA,108.9,Delayed,7.35
189,9,Lead,99.4,Delayed,8.12
189,8,Coordinator,339.2,In Progress,8.83
189,1,Lead,214.6,Delayed,6.79
190,5,Lead,56.4,In Progress,5.62
190,10,Manager,45.0,Completed,6.33
191,2,Manager,56.8,Delayed,7.71
191,9,QA,166.0,In Progress,9.82
191,8,Manager,93.0,Delayed,8.67
192,7,QA,326.3,In Progress,5.2
193,4,Designer,398.1,Delayed,9.32
194,2,Analyst,46.0,Completed,6.39
195,15,Analyst,213.4,Completed,9.14
195,11,Developer,373.2,Delayed,7.24
196,11,Lead,331.1,Delayed,9.4
196,15,QA,145.3,In Progress,6.63
197,11,Lead,101.2,In Progress,6.24
198,15,Analyst,237.2,Delayed,8.95
198,1,Lead,337.2,Completed,8.99
198,7,Developer,170.1,In Progress,9.68
199,5,Analyst,215.7,Completed,7.58
199,14,Analyst,285.5,Completed,9.6
200,2,Manager,74.8,Completed,8.72
201,11,Coordinator,388.5,Completed,8.25
201,15,Developer,349.7,Delayed,5.35
201,5,Coordinator,221.3,Delayed,5.02
202,12,QA,303.8,In Progress,8.93
202,15,Lead,141.9,In Progress,7.1
202,7,Manager,55.5,Delayed,8.9
203,5,Designer,395.4,Completed,9.74
203,8,Analyst,158.9,Delayed,6.91
203,9,Designer,70.6,Completed,5.82
204,13,Developer,371.5,Completed,5.95
204,14,Designer,253.2,Delayed,9.37
204,12,Developer,57.9,Completed,5.32
205,12,Coordinator,339.2,Completed,6.18
205,11,Analyst,83.6,Delayed,5.41
206,6,Coordinator,223.2,Completed,9.59
206,8,QA,389.1,Completed,8.98
206,9,Designer,268.5,Completed,5.29
207,11,Designer,82.0,Delayed,8.66
207,15,Developer,93.9,In Progress,8.59
208,4,Analyst,169.3,In Progress,8.72
208,5,Designer,350.2,Delayed,8.63
208,7,Lead,153.1,Completed,5.38
209,8,Analyst,389.3,In Progress,5.68
209,3,Lead,271.9,Completed,6.32
209,14,QA,149.5,In Progress,9.34
210,9,QA,128.1,Delayed,9.53
211,14,Lead,275.5,In Progress,6.05
211,1,Developer,351.1,Completed,5.41
212,13,Manager,325.1,In Progress,9.73
212,5,QA,112.1,In Progress,6.59
212,15,QA,336.1,Delayed,7.17
213,12,Manager,152.4,In Progress,6.31
214,1,Designer,143.2,In Progress,7.73
215,15,Manager,106.7,In Progress,9.22
215,7,Coordinator,308.3,Delayed,5.35
216,11,QA,151.5,Completed,6.16
216,10,Lead,258.0,In Progress,8.28
217,15,Manager,154.5,Delayed,5.7
218,3,Analyst,332.8,Delayed,9.34
219,1,Developer,290.1,Delayed,7.47
219,15,QA,157.2,Delayed,8.38
220,9,Analyst,82.7,Completed,8.7
220,10,Designer,241.1,Completed,6.41
221,2,Manager,307.3,Completed,7.35
222,8,QA,274.8,Delayed,8.11
223,9,Coordinator,173.8,Delayed,5.14
224,1,Coordinator,391.2,Delayed,9.5
224,3,Lead,102.6,Delayed,8.39
225,6,QA,265.9,Delayed,9.97
225,3,Developer,113.4,Delayed,9.72
226,1,QA,183.5,Completed,5.13
227,2,Developer,181.6,Completed,7.29
228,2,Coordinator,154.2,In Progress,9.32
228,14,Coordinator,373.9,Completed,5.99
229,3,QA,360.6,Completed,6.06
229,10,Manager,178.5,Delayed,5.1
229,14,Coordinator,297.3,Delayed,5.52
230,13,Manager,222.3,Delayed,5.64
230,10,Lead,175.3,In Progress,6.1
230,4,Analyst,342.4,In Progress,9.15
231,3,Coordinator,266.8,In Progress,5.75
232,9,Analyst,122.5,Completed,5.01
232,5,Designer,139.5,Completed,7.28
233,7,Lead,137.4,In Progress,7.67
233,3,QA,87.2,Delayed,9.99
234,13,QA,264.1,Delayed,9.73
234,9,Coordinator,54.8,In Progress,5.58
235,9,Manager,56.4,In Progress,5.1
236,9,QA,199.1,Delayed,7.48
236,11,Manager,191.6,In Progress,9.63
236,13,Manager,325.8,Delayed,7.44
237,13,Coordinator,329.1,Delayed,5.23
237,4,Developer,306.7,In Progress,8.01
237,14,Designer,391.4,Completed,6.74
238,9,Lead,248.5,In Progress,5.02
238,15,Coordinator,344.3,Delayed,5.53
239,12,QA,128.3,Completed,8.06
239,3,Analyst,128.7,In Progress,9.65
239,6,Analyst,302.6,Delayed,9.78
240,10,Designer,197.8,Completed,8.91
240,1,Lead,56.9,Delayed,7.81
240,8,QA,268.9,Delayed,5.12
241,7,Coordinator,374.5,Completed,5.1
242,5,Analyst,105.7,Delayed,5.9
242,9,Developer,159.1,Delayed,9.18
243,8,QA,194.0,In Progress,9.38
244,15,Lead,126.2,In Progress,8.51
245,12,Analyst,164.8,In Progress,7.84
245,13,Analyst,165.5,Delayed,5.08
246,12,Coordinator,61.8,In Progress,9.61
247,13,Manager,248.1,Delayed,5.49
248,13,Developer,384.2,In Progress,8.13
248,14,Developer,236.3,In Progress,6.81
249,4,Manager,116.5,Delayed,6.48
250,3,QA,275.9,Delayed,8.1
250,10,Manager,241.6,In Progress,7.01
250,9,Designer,65.5,Delayed,8.03
251,10,Coordinator,49.3,Completed,6.26
252,13,Manager,304.8,Delayed,8.89
252,9,Manager,66.1,In Progress,6.31
253,14,Manager,78.7,Completed,7.28
253,4,Developer,386.6,Completed,7.84
254,10,Analyst,272.7,Completed,6.2
255,3,Lead,334.5,In Progress,7.95
255,12,Developer,165.0,Completed,6.34
256,9,Lead,174.8,Delayed,7.32
256,15,Manager,219.7,Delayed,7.17
257,10,Analyst,379.3,Delayed,7.11
257,14,Coordinator,171.7,Delayed,8.78
258,9,Developer,313.8,Completed,5.95
258,14,Manager,233.3,Completed,9.74
258,3,Manager,104.3,Delayed,6.74
259,4,Designer,89.1,In Progress,8.9
260,8,QA,97.7,In Progress,5.67
261,13,Analyst,80.4,Delayed,9.41
261,6,Lead,359.6,Delayed,8.21
262,11,Lead,331.7,Completed,8.08
263,1,Developer,219.7,Delayed,8.36
263,7,Lead,209.2,Completed,7.94
263,9,Developer,326.3,Delayed,7.65
264,12,Lead,262.0,Completed,5.97
264,13,Analyst,392.6,Delayed,6.68
265,7,Coordinator,348.2,Delayed,7.83
265,3,Lead,93.1,In Progress,7.42
266,1,Coordinator,162.8,Delayed,9.73
266,9,Lead,91.0,Delayed,7.72
266,2,QA,125.4,Completed,5.57
267,14,Lead,222.9,Completed,5.63
268,15,Lead,233.0,In Progress,8.03
268,2,Developer,165.8,Completed,9.59
268,10,Designer,128.0,Delayed,6.02
269,1,Manager,283.9,Completed,8.55
269,12,Coordinator,188.5,Delayed,9.79
269,2,Coordinator,325.0,Delayed,9.13
270,3,Coordinator,399.8,Completed,5.98
270,8,Designer,92.0,In Progress,9.36
271,11,QA,359.6,Delayed,5.91
271,9,Developer,224.4,Delayed,7.16
271,5,Analyst,327.4,Completed,8.6
272,9,Lead,345.1,Completed,8.67
273,13,Designer,178.8,Completed,5.29
274,12,Analyst,112.2,In Progress,8.69
275,5,Developer,120.3,Completed,7.31
276,8,Designer,251.9,In Progress,6.97
276,4,QA,135.7,Delayed,6.59
277,7,Designer,223.2,Completed,7.11
277,3,Coordinator,193.7,Completed,8.02
277,12,Coordinator,201.7,In Progress,6.23
278,8,Manager,140.6,Completed,5.1
279,2,Coordinator,241.5,Delayed,9.59
280,6,Manager,299.9,In Progress,8.87
280,2,QA,387.7,In Progress,5.09
281,1,Manager,185.3,In Progress,6.11
282,13,Manager,383.2,Delayed,9.88
282,5,QA,223.9,Completed,8.37
283,8,QA,120.4,Delayed,8.51
283,12,Analyst,54.0,Delayed,6.52
284,4,Developer,386.2,In Progress,7.29
284,2,Coordinator,184.5,In Progress,8.89
284,9,Lead,98.6,In Progress,9.95
285,3,QA,234.8,Completed,8.62
285,2,Developer,100.0,In Progress,7.27
285,9,Coordinator,268.6,In Progress,8.69
286,5,QA,163.0,In Progress,6.26
286,7,Coordinator,187.4,In Progress,6.82
286,8,Manager,359.2,Delayed,5.16
287,7,Designer,223.0,In Progress,7.12
288,2,Analyst,249.9,Delayed,7.75
288,15,Developer,366.9,Delayed,8.26
288,8,Analyst,122.4,Delayed,6.35
289,9,Lead,155.1,In Progress,9.46
289,15,Developer,135.8,Completed,7.46
289,4,Coordinator,119.6,In Progress,5.92
290,13,Lead,354.5,In Progress,6.5
290,7,Lead,90.4,Delayed,7.56
291,3,Lead,314.2,In Progress,9.14
291,4,Designer,193.4,In Progress,5.86
291,14,Manager,399.8,Completed,9.15
292,2,Developer,321.7,Delayed,9.38
293,8,Manager,248.6,Completed,6.18
293,10,Designer,200.6,Delayed,8.33
293,7,Analyst,110.7,In Progress,9.24
294,9,Coordinator,123.7,Completed,7.5
294,2,QA,184.2,In Progress,5.74
295,8,Designer,338.9,In Progress,7.28
295,14,Lead,217.4,In Progress,5.37
295,5,Manager,186.2,In Progress,7.66
296,15,Coordinator,67.8,In Progress,7.64
296,13,Lead,209.5,Completed,6.15
296,11,Designer,121.4,Delayed,6.46
297,4,Lead,296.0,Completed,9.08
297,3,Coordinator,43.2,Completed,9.57
297,11,QA,255.5,In Progress,5.97
298,1,Designer,317.7,Completed,9.53
299,10,Lead,74.0,Completed,9.64
299,9,Lead,94.9,In Progress,7.17
299,5,QA,156.9,Delayed,5.01
300,6,QA,329.2,In Progress,9.25
300,10,Designer,175.5,Delayed,7.01
301,13,Coordinator,117.2,Delayed,9.72
302,15,Coordinator,93.7,Completed,7.15
303,15,Coordinator,106.5,In Progress,5.03
303,11,Manager,266.3,Delayed,8.77
303,7,Designer,373.3,In Progress,8.66
304,4,QA,190.3,Delayed,6.97
304,10,QA,253.7,Completed,6.2
304,1,Analyst,374.1,Delayed,7.48
305,15,Analyst,370.1,Completed,8.81
305,3,Designer,188.6,In Progress,5.42
305,14,Analyst,388.0,In Progress,7.47
306,6,Lead,272.9,In Progress,8.84
307,8,Lead,43.9,In Progress,8.62
307,14,Developer,338.3,Completed,7.68
308,2,Coordinator,387.5,Delayed,5.44
308,4,Manager,197.4,In Progress,6.15
309,4,Manager,259.2,Completed,9.64
309,10,QA,182.1,In Progress,7.16
309,15,Coordinator,312.4,Delayed,7.75
310,5,Manager,263.9,Delayed,9.39
310,7,Developer,371.3,In Progress,8.01
310,4,Coordinator,391.6,In Progress,5.52
311,9,Coordinator,313.7,In Progress,6.63
311,7,Designer,49.7,Delayed,8.43
311,14,Developer,350.7,Delayed,6.04
312,10,Designer,142.1,Delayed,5.41
313,3,Designer,254.1,Completed,6.57
314,7,Coordinator,169.7,Delayed,8.81
314,2,Coordinator,368.2,Completed,5.51
314,6,Analyst,82.6,Completed,9.32
315,2,Lead,255.5,In Progress,7.0
315,7,Coordinator,274.2,Delayed,9.45
315,1,QA,339.7,In Progress,8.39
316,5,Manager,374.9,In Progress,5.88
317,9,Designer,138.1,Delayed,6.15
317,11,Coordinator,368.1,In Progress,5.0
318,5,Designer,353.0,In Progress,5.47
318,9,QA,373.7,In Progress,6.36
319,14,Lead,75.1,Delayed,8.12
319,8,QA,223.9,In Progress,6.31
320,10,Lead,106.8,Completed,7.19
320,14,Lead,351.5,Delayed,8.72
320,4,Manager,42.7,Delayed,6.98
321,11,Developer,225.5,Delayed,6.32
321,3,Coordinator,297.4,In Progress,6.8
321,10,Coordinator,179.5,In Progress,9.05
322,7,QA,120.0,Delayed,9.46
322,15,Coordinator,256.1,Delayed,8.43
323,14,Developer,358.7,In Progress,6.86
323,12,Analyst,311.6,Completed,6.72
323,2,Designer,183.2,Completed,5.63
324,4,QA,321.5,Completed,6.92
324,11,Analyst,274.2,In Progress,6.9
325,9,Developer,274.6,Completed,7.24
326,11,Designer,340.1,In Progress,9.71
327,15,Developer,60.4,In Progress,5.68
327,6,Developer,172.9,Delayed,8.46
327,10,Designer,154.5,Completed,6.08
328,11,QA,148.5,Completed,9.9
328,8,Developer,233.4,In Progress,5.04
329,15,Analyst,387.8,In Progress,6.52
