EmployeeID,TrainingID,EnrollDate,CompletionDate,CompletionStatus,AssessmentScore
21,2,2023-10-14,2023-11-13,Completed,58.01
22,1,2023-07-24,2023-08-23,Completed,66.44
22,5,2023-12-17,2024-01-16,Completed,87.17
23,7,2023-12-24,2024-01-23,Completed,74.62
23,10,2023-09-21,,In Progress,0.0
24,10,2023-08-27,2023-09-26,Completed,82.31
24,5,2023-07-26,2023-08-25,Completed,65.75
24,3,2023-10-07,2023-11-06,Completed,67.8
25,6,2023-12-05,2024-01-04,Completed,67.09
25,2,2023-02-20,2023-03-22,Completed,88.74
25,1,2023-05-02,2023-06-01,Completed,95.66
26,8,2023-12-03,2024-01-02,Completed,62.04
26,3,2023-01-12,2023-02-11,Completed,93.42
26,9,2023-08-19,2023-09-18,Completed,59.8
27,4,2023-12-18,,In Progress,0.0
27,6,2023-03-25,2023-04-24,Completed,81.79
27,5,2023-11-14,2023-12-14,Completed,87.35
28,10,2023-01-20,,In Progress,0.0
28,5,2023-02-10,2023-03-12,Completed,77.33
28,7,2023-04-09,2023-05-09,Completed,69.78
29,4,2023-07-14,,In Progress,0.0
29,5,2023-03-12,2023-04-11,Completed,66.67
29,1,2023-02-24,2023-03-26,Completed,95.88
30,4,2023-12-07,,In Progress,0.0
30,3,2023-05-23,,In Progress,0.0
31,8,2023-07-22,,In Progress,0.0
31,7,2023-12-21,2024-01-20,Completed,61.33
31,5,2023-12-24,2024-01-23,Completed,76.97
32,9,2023-07-19,,Dropped,0.0
32,8,2023-07-26,2023-08-25,Completed,89.66
33,10,2023-04-22,,Dropped,0.0
34,7,2023-08-13,2023-09-12,Completed,75.08
34,4,2023-06-12,2023-07-12,Completed,79.21
34,3,2023-01-07,,In Progress,0.0
34,9,2023-11-25,2023-12-25,Completed,97.69
35,5,2023-10-17,2023-11-16,Completed,98.97
35,8,2023-08-15,2023-09-14,Completed,68.79
35,7,2023-01-02,2023-02-01,Completed,61.39
35,9,2023-06-11,2023-07-11,Completed,97.5
36,7,2023-12-08,,In Progress,0.0
36,9,2023-09-13,2023-10-13,Completed,90.75
36,5,2023-10-22,2023-11-21,Completed,57.61
36,6,2023-11-17,,Dropped,0.0
37,3,2023-01-12,,In Progress,0.0
37,1,2023-02-03,2023-03-05,Completed,80.32
37,2,2023-09-08,,Dropped,0.0
38,2,2023-02-11,2023-03-13,Completed,60.8
38,7,2023-08-17,2023-09-16,Completed,73.74
39,10,2023-09-18,2023-10-18,Completed,74.07
39,6,2023-05-18,2023-06-17,Completed,93.41
40,8,2023-12-05,2024-01-04,Completed,62.46
40,1,2023-02-21,2023-03-23,Completed,82.55
41,8,2023-06-16,,In Progress,0.0
41,1,2023-02-06,,Dropped,0.0
41,10,2023-04-14,,In Progress,0.0
41,4,2023-08-20,2023-09-19,Completed,92.97
42,6,2023-09-05,2023-10-05,Completed,84.03
42,3,2023-11-12,2023-12-12,Completed,91.82
42,8,2023-12-04,2024-01-03,Completed,86.01
43,10,2023-11-14,,Dropped,0.0
43,1,2023-11-21,2023-12-21,Completed,85.04
43,7,2023-02-04,,Dropped,0.0
43,2,2023-12-07,2024-01-06,Completed,61.44
44,6,2023-05-27,2023-06-26,Completed,77.37
44,2,2023-11-19,2023-12-19,Completed,84.18
44,10,2023-11-08,2023-12-08,Completed,78.63
44,8,2023-10-18,2023-11-17,Completed,78.74
45,1,2023-02-03,2023-03-05,Completed,58.94
45,8,2023-09-19,2023-10-19,Completed,75.9
45,5,2023-09-02,2023-10-02,Completed,82.01
45,2,2023-11-27,2023-12-27,Completed,94.37
46,9,2023-09-12,2023-10-12,Completed,91.37
46,10,2023-07-09,,In Progress,0.0
46,4,2023-04-27,,In Progress,0.0
47,6,2023-07-10,2023-08-09,Completed,57.78
47,2,2023-05-17,,Dropped,0.0
48,6,2023-03-04,,In Progress,0.0
48,8,2023-12-22,2024-01-21,Completed,81.26
48,2,2023-02-15,2023-03-17,Completed,95.5
48,1,2023-08-01,2023-08-31,Completed,76.94
49,4,2023-10-08,2023-11-07,Completed,68.48
49,7,2023-07-09,2023-08-08,Completed,57.06
50,8,2023-11-04,2023-12-04,Completed,98.34
51,4,2023-10-04,2023-11-03,Completed,95.92
51,5,2023-08-26,2023-09-25,Completed,98.05
52,3,2023-11-19,2023-12-19,Completed,87.52
52,10,2023-01-18,,Dropped,0.0
53,2,2023-12-11,,In Progress,0.0
53,8,2023-10-06,2023-11-05,Completed,85.98
54,1,2023-05-24,2023-06-23,Completed,55.19
54,6,2023-10-10,2023-11-09,Completed,76.31
55,2,2023-04-02,2023-05-02,Completed,91.6
55,10,2023-07-15,2023-08-14,Completed,60.96
55,1,2023-07-04,2023-08-03,Completed,60.7
56,7,2023-01-17,,In Progress,0.0
56,10,2023-03-11,2023-04-10,Completed,98.3
56,6,2023-03-02,2023-04-01,Completed,91.67
57,5,2023-07-24,2023-08-23,Completed,68.32
57,3,2023-12-13,2024-01-12,Completed,91.55
58,10,2023-08-01,2023-08-31,Completed,76.69
58,2,2023-10-11,,In Progress,0.0
58,6,2023-04-06,2023-05-06,Completed,91.5
59,4,2023-11-15,2023-12-15,Completed,59.1
60,3,2023-01-25,,In Progress,0.0
61,10,2023-05-20,,In Progress,0.0
61,1,2023-09-18,2023-10-18,Completed,95.17
62,6,2023-05-18,2023-06-17,Completed,57.46
62,9,2023-04-12,,Dropped,0.0
63,5,2023-11-22,2023-12-22,Completed,96.22
63,4,2023-05-21,2023-06-20,Completed,76.23
63,8,2023-01-06,2023-02-05,Completed,96.75
63,10,2023-08-25,2023-09-24,Completed,98.53
64,3,2023-11-27,2023-12-27,Completed,65.68
64,6,2023-02-02,,In Progress,0.0
64,4,2023-05-15,,Dropped,0.0
64,10,2023-10-12,,Dropped,0.0
65,8,2023-08-10,,Dropped,0.0
65,5,2023-05-12,2023-06-11,Completed,83.2
66,6,2023-05-17,2023-06-16,Completed,61.32
66,10,2023-08-06,2023-09-05,Completed,56.14
66,2,2023-06-26,2023-07-26,Completed,84.97
67,6,2023-02-04,2023-03-06,Completed,56.45
67,10,2023-02-17,,In Progress,0.0
67,1,2023-03-12,2023-04-11,Completed,59.43
68,2,2023-11-02,,In Progress,0.0
69,9,2023-03-15,2023-04-14,Completed,83.45
70,3,2023-11-25,2023-12-25,Completed,95.86
70,1,2023-04-26,2023-05-26,Completed,68.91
70,10,2023-02-26,2023-03-28,Completed,95.92
71,1,2023-01-22,2023-02-21,Completed,85.13
71,7,2023-09-05,2023-10-05,Completed,96.64
71,6,2023-03-16,2023-04-15,Completed,58.58
71,5,2023-12-19,2024-01-18,Completed,73.08
72,9,2023-06-21,2023-07-21,Completed,96.13
72,4,2023-03-05,2023-04-04,Completed,55.3
72,10,2023-10-19,2023-11-18,Completed,56.76
72,5,2023-05-16,,In Progress,0.0
73,10,2023-04-11,2023-05-11,Completed,99.17
74,5,2023-02-02,2023-03-04,Completed,76.34
74,10,2023-04-24,2023-05-24,Completed,70.77
75,10,2023-05-18,2023-06-17,Completed,76.07
76,7,2023-08-24,2023-09-23,Completed,65.0
76,9,2023-10-21,2023-11-20,Completed,64.61
77,9,2023-01-24,2023-02-23,Completed,60.39
77,7,2023-03-14,2023-04-13,Completed,59.43
78,1,2023-02-27,2023-03-29,Completed,70.54
78,6,2023-01-01,2023-01-31,Completed,68.46
78,4,2023-10-06,,In Progress,0.0
78,2,2023-01-13,2023-02-12,Completed,70.26
79,3,2023-08-23,2023-09-22,Completed,76.94
79,10,2023-09-03,2023-10-03,Completed,69.75
79,4,2023-08-24,2023-09-23,Completed,63.75
80,5,2023-11-09,2023-12-09,Completed,94.69
80,3,2023-11-25,2023-12-25,Completed,94.19
81,2,2023-02-07,2023-03-09,Completed,86.13
82,4,2023-06-04,2023-07-04,Completed,81.39
82,1,2023-11-11,2023-12-11,Completed,79.3
82,10,2023-02-21,2023-03-23,Completed,89.31
82,3,2023-07-04,2023-08-03,Completed,63.36
83,4,2023-04-12,2023-05-12,Completed,79.13
83,9,2023-05-27,2023-06-26,Completed,75.27
83,5,2023-05-19,2023-06-18,Completed,86.17
83,8,2023-10-05,2023-11-04,Completed,98.47
84,1,2023-04-20,2023-05-20,Completed,70.5
84,2,2023-03-06,,Dropped,0.0
84,8,2023-12-11,2024-01-10,Completed,80.34
84,5,2023-12-17,,In Progress,0.0
85,7,2023-12-02,2024-01-01,Completed,55.93
86,7,2023-10-15,2023-11-14,Completed,93.31
87,2,2023-01-20,2023-02-19,Completed,99.11
87,9,2023-08-27,2023-09-26,Completed,94.01
87,4,2023-12-19,,Dropped,0.0
87,1,2023-01-25,2023-02-24,Completed,82.7
88,2,2023-07-06,,In Progress,0.0
89,2,2023-08-07,2023-09-06,Completed,57.85
89,7,2023-10-09,2023-11-08,Completed,92.07
89,9,2023-02-17,2023-03-19,Completed,57.83
89,3,2023-08-01,2023-08-31,Completed,74.15
90,2,2023-01-22,2023-02-21,Completed,55.13
91,3,2023-12-18,2024-01-17,Completed,66.4
91,6,2023-06-12,2023-07-12,Completed,59.91
91,8,2023-09-23,,In Progress,0.0
91,2,2023-04-21,,In Progress,0.0
92,3,2023-12-26,2024-01-25,Completed,64.39
92,5,2023-02-17,2023-03-19,Completed,95.55
92,2,2023-02-13,2023-03-15,Completed,95.7
93,4,2023-10-07,2023-11-06,Completed,65.72
93,9,2023-07-10,2023-08-09,Completed,76.14
93,6,2023-07-19,2023-08-18,Completed,82.38
94,2,2023-01-15,2023-02-14,Completed,71.2
94,9,2023-02-24,2023-03-26,Completed,73.42
95,2,2023-07-07,2023-08-06,Completed,55.65
95,9,2023-01-07,2023-02-06,Completed,72.17
95,6,2023-05-05,,Dropped,0.0
95,10,2023-03-25,,In Progress,0.0
96,2,2023-03-23,2023-04-22,Completed,89.15
96,8,2023-09-08,,In Progress,0.0
96,6,2023-05-13,2023-06-12,Completed,85.44
96,10,2023-05-27,2023-06-26,Completed,76.3
97,9,2023-08-26,2023-09-25,Completed,98.69
97,1,2023-04-21,2023-05-21,Completed,71.0
98,8,2023-06-23,,In Progress,0.0
98,5,2023-05-05,2023-06-04,Completed,94.49
98,7,2023-09-14,,In Progress,0.0
99,2,2023-07-10,,Dropped,0.0
99,6,2023-05-21,2023-06-20,Completed,92.77
99,8,2023-03-27,,In Progress,0.0
99,3,2023-12-04,,In Progress,0.0
100,5,2023-01-14,,In Progress,0.0
100,6,2023-09-09,,In Progress,0.0
100,9,2023-05-03,2023-06-02,Completed,59.62
101,5,2023-07-14,2023-08-13,Completed,65.88
101,8,2023-05-21,2023-06-20,Completed,92.77
102,5,2023-07-20,2023-08-19,Completed,69.71
102,8,2023-04-15,,In Progress,0.0
102,2,2023-08-05,2023-09-04,Completed,80.1
102,4,2023-07-24,2023-08-23,Completed,94.17
103,10,2023-03-24,2023-04-23,Completed,75.75
104,9,2023-02-26,2023-03-28,Completed,57.66
104,8,2023-10-08,2023-11-07,Completed,66.51
104,3,2023-09-20,,In Progress,0.0
105,7,2023-11-15,,Dropped,0.0
105,8,2023-08-11,2023-09-10,Completed,84.68
105,10,2023-08-05,2023-09-04,Completed,88.31
105,4,2023-12-04,,In Progress,0.0
106,6,2023-08-11,2023-09-10,Completed,77.14
106,9,2023-02-20,2023-03-22,Completed,58.91
107,9,2023-01-21,2023-02-20,Completed,71.73
107,10,2023-08-25,,Dropped,0.0
108,9,2023-04-04,,In Progress,0.0
108,8,2023-01-02,2023-02-01,Completed,75.38
108,2,2023-12-01,2023-12-31,Completed,95.78
109,7,2023-06-20,2023-07-20,Completed,70.08
109,3,2023-07-27,2023-08-26,Completed,74.98
109,2,2023-12-05,2024-01-04,Completed,99.89
110,4,2023-03-14,,In Progress,0.0
110,6,2023-11-21,,In Progress,0.0
110,8,2023-11-20,2023-12-20,Completed,98.29
111,2,2023-08-15,2023-09-14,Completed,96.9
111,8,2023-03-17,,In Progress,0.0
111,7,2023-06-15,2023-07-15,Completed,77.78
111,9,2023-08-14,2023-09-13,Completed,88.8
112,8,2023-02-18,2023-03-20,Completed,62.27
112,5,2023-03-04,,In Progress,0.0
113,4,2023-09-11,2023-10-11,Completed,95.99
113,8,2023-10-06,2023-11-05,Completed,80.76
114,5,2023-05-21,2023-06-20,Completed,71.0
114,10,2023-06-19,2023-07-19,Completed,87.88
115,1,2023-02-01,2023-03-03,Completed,76.37
116,10,2023-08-18,2023-09-17,Completed,77.32
116,6,2023-08-04,2023-09-03,Completed,82.76
116,2,2023-10-08,2023-11-07,Completed,97.35
117,3,2023-12-26,,Dropped,0.0
117,9,2023-06-10,2023-07-10,Completed,85.87
117,8,2023-05-03,2023-06-02,Completed,73.96
117,10,2023-07-08,2023-08-07,Completed,90.85
118,6,2023-10-10,2023-11-09,Completed,66.44
118,7,2023-05-09,2023-06-08,Completed,65.74
118,1,2023-10-04,2023-11-03,Completed,70.08
119,4,2023-10-10,,Dropped,0.0
119,6,2023-02-26,,Dropped,0.0
119,7,2023-07-22,2023-08-21,Completed,90.81
120,5,2023-05-02,2023-06-01,Completed,80.38
120,6,2023-12-22,2024-01-21,Completed,85.0
120,1,2023-08-18,,In Progress,0.0
120,9,2023-12-24,,In Progress,0.0
121,10,2023-10-06,,Dropped,0.0
122,7,2023-08-11,2023-09-10,Completed,78.62
123,7,2023-02-04,,In Progress,0.0
123,9,2023-02-08,2023-03-10,Completed,85.75
123,5,2023-03-15,2023-04-14,Completed,92.61
123,2,2023-06-27,2023-07-27,Completed,72.87
124,6,2023-06-17,2023-07-17,Completed,68.51
125,5,2023-08-25,2023-09-24,Completed,62.45
126,5,2023-05-23,2023-06-22,Completed,99.41
126,2,2023-05-09,2023-06-08,Completed,62.34
126,1,2023-12-06,2024-01-05,Completed,96.74
126,9,2023-08-22,2023-09-21,Completed,73.01
127,4,2023-09-21,,In Progress,0.0
127,1,2023-07-20,2023-08-19,Completed,83.6
128,4,2023-01-16,,Dropped,0.0
128,9,2023-07-26,2023-08-25,Completed,72.59
129,3,2023-05-14,2023-06-13,Completed,64.55
129,8,2023-11-04,,In Progress,0.0
129,2,2023-06-01,2023-07-01,Completed,75.27
130,9,2023-09-22,2023-10-22,Completed,70.61
130,7,2023-10-01,2023-10-31,Completed,58.38
130,3,2023-11-05,,In Progress,0.0
130,2,2023-02-08,2023-03-10,Completed,56.88
131,2,2023-04-22,,In Progress,0.0
132,9,2023-01-25,2023-02-24,Completed,68.49
132,5,2023-09-26,,Dropped,0.0
133,6,2023-01-07,2023-02-06,Completed,55.71
133,5,2023-02-02,,In Progress,0.0
134,5,2023-10-20,2023-11-19,Completed,61.03
134,9,2023-02-05,2023-03-07,Completed,63.0
134,6,2023-01-07,2023-02-06,Completed,72.5
135,10,2023-02-26,2023-03-28,Completed,93.87
135,5,2023-09-20,,Dropped,0.0
135,4,2023-05-14,,In Progress,0.0
136,9,2023-10-24,2023-11-23,Completed,74.65
136,7,2023-06-02,2023-07-02,Completed,94.47
136,8,2023-12-26,2024-01-25,Completed,63.68
137,5,2023-09-04,2023-10-04,Completed,84.44
137,4,2023-06-07,2023-07-07,Completed,57.86
138,10,2023-11-13,2023-12-13,Completed,79.82
139,8,2023-10-13,2023-11-12,Completed,72.25
140,6,2023-11-08,2023-12-08,Completed,71.44
140,2,2023-04-23,,In Progress,0.0
140,5,2023-05-02,,In Progress,0.0
141,4,2023-05-14,2023-06-13,Completed,98.05
141,10,2023-08-10,2023-09-09,Completed,67.76
141,6,2023-05-19,2023-06-18,Completed,98.95
142,1,2023-04-10,2023-05-10,Completed,94.38
142,2,2023-08-13,,Dropped,0.0
142,8,2023-11-23,2023-12-23,Completed,85.91
143,4,2023-10-08,2023-11-07,Completed,65.04
143,6,2023-03-25,2023-04-24,Completed,81.52
143,2,2023-08-26,2023-09-25,Completed,79.68
144,4,2023-11-09,2023-12-09,Completed,66.35
144,10,2023-12-12,2024-01-11,Completed,91.71
145,5,2023-05-11,2023-06-10,Completed,72.98
146,6,2023-09-19,,In Progress,0.0
146,2,2023-01-07,2023-02-06,Completed,77.49
146,8,2023-04-16,,In Progress,0.0
146,4,2023-11-13,,In Progress,0.0
147,8,2023-01-10,2023-02-09,Completed,73.45
147,10,2023-11-03,,In Progress,0.0
147,7,2023-05-26,2023-06-25,Completed,67.37
148,6,2023-11-27,2023-12-27,Completed,90.37
148,7,2023-09-19,2023-10-19,Completed,55.73
149,7,2023-08-20,,In Progress,0.0
150,3,2023-04-03,2023-05-03,Completed,91.78
150,6,2023-06-26,,In Progress,0.0
150,7,2023-05-19,2023-06-18,Completed,85.02
151,10,2023-02-02,2023-03-04,Completed,79.67
151,7,2023-02-22,2023-03-24,Completed,83.51
151,4,2023-07-22,2023-08-21,Completed,96.75
152,3,2023-04-24,2023-05-24,Completed,67.75
153,6,2023-03-21,2023-04-20,Completed,72.55
153,1,2023-03-06,2023-04-05,Completed,92.67
153,4,2023-06-21,2023-07-21,Completed,79.61
154,9,2023-01-14,2023-02-13,Completed,67.24
155,3,2023-04-04,2023-05-04,Completed,66.3
156,5,2023-11-19,2023-12-19,Completed,86.8
157,3,2023-09-22,2023-10-22,Completed,92.41
157,6,2023-10-14,2023-11-13,Completed,69.98
158,8,2023-07-09,,In Progress,0.0
159,10,2023-09-11,2023-10-11,Completed,79.87
159,4,2023-08-16,,In Progress,0.0
159,9,2023-08-26,2023-09-25,Completed,84.98
160,3,2023-11-19,2023-12-19,Completed,91.24
160,6,2023-12-21,2024-01-20,Completed,72.86
160,10,2023-05-15,2023-06-14,Completed,98.32
160,9,2023-04-03,,In Progress,0.0
161,10,2023-04-19,2023-05-19,Completed,70.03
161,7,2023-03-25,2023-04-24,Completed,93.39
161,6,2023-02-17,2023-03-19,Completed,60.48
161,1,2023-05-05,2023-06-04,Completed,68.48
162,7,2023-11-13,2023-12-13,Completed,97.12
162,2,2023-07-12,2023-08-11,Completed,75.53
162,3,2023-10-18,,In Progress,0.0
162,4,2023-02-21,2023-03-23,Completed,67.72
163,7,2023-06-26,,Dropped,0.0
163,1,2023-06-18,2023-07-18,Completed,87.85
163,3,2023-02-21,2023-03-23,Completed,78.11
163,6,2023-10-27,2023-11-26,Completed,62.89
164,7,2023-07-20,2023-08-19,Completed,59.06
164,4,2023-06-07,2023-07-07,Completed,90.9
164,5,2023-11-15,2023-12-15,Completed,88.15
164,8,2023-02-25,2023-03-27,Completed,55.62
165,9,2023-04-06,,Dropped,0.0
165,6,2023-06-03,2023-07-03,Completed,75.66
166,3,2023-03-16,2023-04-15,Completed,70.77
166,2,2023-12-20,2024-01-19,Completed,64.97
166,5,2023-11-01,2023-12-01,Completed,62.57
167,6,2023-06-26,,In Progress,0.0
167,4,2023-07-14,,In Progress,0.0
167,3,2023-12-08,,In Progress,0.0
168,8,2023-11-12,2023-12-12,Completed,84.68
168,4,2023-06-10,2023-07-10,Completed,87.8
169,4,2023-06-14,2023-07-14,Completed,89.06
169,5,2023-11-23,2023-12-23,Completed,99.74
170,7,2023-02-15,,In Progress,0.0
171,4,2023-01-02,2023-02-01,Completed,64.52
171,8,2023-06-20,2023-07-20,Completed,84.53
171,10,2023-05-25,,In Progress,0.0
172,4,2023-06-12,2023-07-12,Completed,76.04
172,2,2023-02-03,2023-03-05,Completed,70.62
172,10,2023-12-21,2024-01-20,Completed,57.17
172,5,2023-04-27,,Dropped,0.0
173,6,2023-04-17,2023-05-17,Completed,77.35
173,9,2023-09-09,,In Progress,0.0
174,6,2023-12-19,2024-01-18,Completed,77.6
175,8,2023-02-13,2023-03-15,Completed,97.04
175,6,2023-11-03,,Dropped,0.0
175,4,2023-09-05,2023-10-05,Completed,64.38
175,1,2023-08-24,2023-09-23,Completed,71.98
176,7,2023-10-02,,In Progress,0.0
176,5,2023-06-01,2023-07-01,Completed,80.76
176,1,2023-02-06,2023-03-08,Completed,91.86
177,5,2023-06-02,2023-07-02,Completed,99.24
178,6,2023-04-02,2023-05-02,Completed,63.25
178,7,2023-07-13,2023-08-12,Completed,95.67
178,8,2023-03-01,2023-03-31,Completed,76.81
179,8,2023-12-14,2024-01-13,Completed,88.28
179,2,2023-09-19,2023-10-19,Completed,67.5
180,5,2023-04-08,2023-05-08,Completed,82.33
180,8,2023-06-20,2023-07-20,Completed,84.08
180,10,2023-12-06,,Dropped,0.0
181,1,2023-02-02,2023-03-04,Completed,84.72
181,8,2023-10-12,,Dropped,0.0
181,9,2023-07-25,2023-08-24,Completed,67.67
182,1,2023-03-17,2023-04-16,Completed,58.34
182,4,2023-07-26,2023-08-25,Completed,95.01
182,7,2023-10-11,,In Progress,0.0
183,2,2023-06-26,2023-07-26,Completed,56.97
184,3,2023-12-25,,Dropped,0.0
184,4,2023-12-22,2024-01-21,Completed,78.35
185,6,2023-08-21,2023-09-20,Completed,74.37
186,8,2023-02-27,2023-03-29,Completed,65.89
187,5,2023-11-03,2023-12-03,Completed,64.8
188,6,2023-02-08,2023-03-10,Completed,94.74
188,7,2023-06-08,2023-07-08,Completed,81.05
188,5,2023-09-20,,In Progress,0.0
188,4,2023-05-06,2023-06-05,Completed,85.85
189,2,2023-03-09,2023-04-08,Completed,71.54
190,6,2023-02-02,2023-03-04,Completed,84.6
190,8,2023-07-20,,In Progress,0.0
191,4,2023-05-24,,In Progress,0.0
191,2,2023-07-23,,In Progress,0.0
191,10,2023-09-26,,Dropped,0.0
191,1,2023-03-05,,In Progress,0.0
192,6,2023-12-26,2024-01-25,Completed,71.8
193,1,2023-07-11,,In Progress,0.0
193,7,2023-11-07,2023-12-07,Completed,87.41
193,4,2023-06-02,,Dropped,0.0
193,10,2023-09-25,2023-10-25,Completed,77.42
194,4,2023-12-20,2024-01-19,Completed,63.16
195,10,2023-09-20,2023-10-20,Completed,66.92
195,8,2023-03-02,2023-04-01,Completed,98.07
196,5,2023-10-02,2023-11-01,Completed,56.86
196,4,2023-01-24,2023-02-23,Completed,78.95
196,8,2023-12-22,2024-01-21,Completed,91.35
196,9,2023-11-11,2023-12-11,Completed,62.28
197,3,2023-08-02,2023-09-01,Completed,94.85
198,9,2023-09-07,2023-10-07,Completed,57.29
198,8,2023-04-25,2023-05-25,Completed,79.43
198,5,2023-03-09,2023-04-08,Completed,98.09
198,7,2023-05-08,2023-06-07,Completed,76.09
199,10,2023-06-18,2023-07-18,Completed,65.1
199,9,2023-01-19,,In Progress,0.0
200,2,2023-07-25,,In Progress,0.0
200,8,2023-03-26,2023-04-25,Completed,73.82
201,6,2023-09-20,,Dropped,0.0
201,1,2023-08-08,2023-09-07,Completed,68.29
202,2,2023-01-20,,In Progress,0.0
202,1,2023-02-13,2023-03-15,Completed,63.39
202,3,2023-11-21,2023-12-21,Completed,68.7
202,7,2023-10-04,2023-11-03,Completed,73.98
203,9,2023-12-01,2023-12-31,Completed,76.92
203,6,2023-04-06,2023-05-06,Completed,96.52
204,6,2023-05-16,2023-06-15,Completed,83.32
205,6,2023-12-23,2024-01-22,Completed,58.78
205,5,2023-07-22,,In Progress,0.0
205,3,2023-05-25,2023-06-24,Completed,88.18
205,9,2023-01-01,2023-01-31,Completed,86.82
206,7,2023-05-10,2023-06-09,Completed,90.33
206,3,2023-07-23,,In Progress,0.0
206,2,2023-09-19,2023-10-19,Completed,89.1
206,6,2023-03-03,2023-04-02,Completed,62.26
207,10,2023-12-07,,In Progress,0.0
207,8,2023-03-14,2023-04-13,Completed,99.31
207,1,2023-06-12,,Dropped,0.0
207,2,2023-07-08,2023-08-07,Completed,62.22
208,3,2023-09-08,2023-10-08,Completed,73.35
209,10,2023-12-19,,In Progress,0.0
209,2,2023-05-16,2023-06-15,Completed,90.52
209,9,2023-11-27,,In Progress,0.0
209,4,2023-05-08,2023-06-07,Completed,86.6
210,7,2023-10-02,,In Progress,0.0
210,6,2023-04-15,2023-05-15,Completed,82.35
210,3,2023-02-16,,In Progress,0.0
210,2,2023-06-13,,In Progress,0.0
211,3,2023-06-19,2023-07-19,Completed,63.73
211,8,2023-07-09,,In Progress,0.0
211,5,2023-06-03,,In Progress,0.0
212,2,2023-03-21,,In Progress,0.0
212,3,2023-02-20,2023-03-22,Completed,55.32
213,5,2023-06-26,,In Progress,0.0
213,9,2023-05-02,2023-06-01,Completed,82.43
214,10,2023-01-27,,In Progress,0.0
215,7,2023-10-26,2023-11-25,Completed,94.75
216,5,2023-07-06,,In Progress,0.0
216,7,2023-04-06,2023-05-06,Completed,79.34
217,5,2023-01-06,,Dropped,0.0
218,4,2023-01-18,2023-02-17,Completed,84.26
218,6,2023-09-04,2023-10-04,Completed,73.5
218,10,2023-08-14,2023-09-13,Completed,73.29
219,1,2023-10-25,2023-11-24,Completed,90.01
219,9,2023-09-01,2023-10-01,Completed,89.69
219,6,2023-02-04,2023-03-06,Completed,73.41
220,9,2023-11-10,,In Progress,0.0
220,6,2023-11-08,2023-12-08,Completed,90.93
220,3,2023-10-18,2023-11-17,Completed,65.2
221,2,2023-10-13,2023-11-12,Completed,55.71
222,8,2023-10-23,2023-11-22,Completed,93.51
223,5,2023-12-24,2024-01-23,Completed,68.66
224,6,2023-09-03,2023-10-03,Completed,74.86
224,4,2023-02-22,,Dropped,0.0
224,3,2023-11-02,,In Progress,0.0
224,10,2023-11-07,2023-12-07,Completed,58.85
225,5,2023-10-16,2023-11-15,Completed,67.47
226,5,2023-12-19,2024-01-18,Completed,71.39
227,6,2023-08-20,2023-09-19,Completed,62.68
227,3,2023-08-24,,Dropped,0.0
227,8,2023-10-22,2023-11-21,Completed,62.84
