PromotionID,EmployeeID,PromotionDate,PreviousRole,NewRole,SalaryBefore,SalaryAfter,Remarks
37,142,2023-08-04,Laboratory Technician,Senior Lab Technician,44400,52141,Performance-based promotion
38,144,2023-12-16,Sales Executive,Sales Manager,53210,62222,Performance-based promotion
39,145,2023-06-24,Manufacturing Director,VP Manufacturing,54100,61286,Performance-based promotion
40,154,2023-04-19,Manufacturing Director,VP Manufacturing,22690,26023,Performance-based promotion
41,166,2023-01-12,Research Scientist,Senior Research Scientist,51310,57588,Performance-based promotion
42,168,2023-02-24,Manager,Senior Manager,47870,54259,Performance-based promotion
43,169,2023-07-11,Laboratory Technician,Senior Lab Technician,165835,195517,Performance-based promotion
44,170,2023-03-03,Laboratory Technician,Senior Lab Technician,23390,27745,Performance-based promotion
45,173,2023-01-16,Laboratory Technician,Senior Lab Technician,54060,61791,Performance-based promotion
46,175,2023-05-04,Laboratory Technician,Senior Lab Technician,24390,27705,Performance-based promotion
47,178,2023-01-04,Research Director,VP Research,67280,78268,Performance-based promotion
48,185,2023-10-08,Research Scientist,Senior Research Scientist,40250,49383,Performance-based promotion
49,187,2023-08-21,Laboratory Technician,Senior Lab Technician,108540,132583,Performance-based promotion
50,188,2023-11-11,Sales Executive,Sales Manager,120310,144958,Performance-based promotion
51,190,2023-02-21,Sales Representative,Sales Executive,29660,35491,Performance-based promotion
52,191,2023-03-26,Laboratory Technician,Senior Lab Technician,25710,31889,Performance-based promotion
53,194,2023-06-19,Sales Executive,Sales Manager,53900,65871,Performance-based promotion
54,195,2023-05-01,Sales Executive,Sales Manager,44040,48609,Performance-based promotion
55,205,2023-03-07,Laboratory Technician,Senior Lab Technician,52370,63163,Performance-based promotion
56,209,2023-10-14,Research Director,VP Research,26610,30118,Performance-based promotion
57,210,2023-03-09,Sales Executive,Sales Manager,20280,23629,Performance-based promotion
58,211,2023-11-12,Laboratory Technician,Senior Lab Technician,99800,111476,Performance-based promotion
59,215,2023-07-11,Research Scientist,Senior Research Scientist,39440,47851,Performance-based promotion
60,220,2023-02-12,Sales Executive,Sales Manager,29600,35817,Performance-based promotion
61,227,2023-04-26,Sales Executive,Sales Manager,64650,71249,Performance-based promotion
62,234,2023-02-26,Healthcare Representative,Senior Healthcare Rep,34190,39618,Performance-based promotion
63,245,2023-05-13,Manager,Senior Manager,22690,25063,Performance-based promotion
64,246,2023-12-24,Research Scientist,Senior Research Scientist,53810,65814,Performance-based promotion
65,249,2023-08-17,Manager,Senior Manager,98840,118893,Performance-based promotion
66,251,2023-05-03,Laboratory Technician,Senior Lab Technician,134580,153903,Performance-based promotion
67,252,2023-10-12,Laboratory Technician,Senior Lab Technician,90690,112943,Performance-based promotion
68,253,2023-10-12,Sales Executive,Sales Manager,40140,45325,Performance-based promotion
69,257,2023-04-11,Laboratory Technician,Senior Lab Technician,24060,26541,Performance-based promotion
70,266,2023-11-05,Laboratory Technician,Senior Lab Technician,54730,63387,Performance-based promotion
71,267,2023-02-17,Healthcare Representative,Senior Healthcare Rep,27030,33504,Performance-based promotion
72,269,2023-09-24,Sales Representative,Sales Executive,62200,75720,Performance-based promotion
73,274,2023-07-26,Sales Executive,Sales Manager,136640,164402,Performance-based promotion
74,278,2023-04-19,Sales Executive,Sales Manager,102390,125841,Performance-based promotion
75,283,2023-04-20,Research Scientist,Senior Research Scientist,20750,25088,Performance-based promotion
76,287,2023-05-05,Research Scientist,Senior Research Scientist,54410,64570,Performance-based promotion
77,288,2023-05-18,Sales Executive,Sales Manager,52090,59108,Performance-based promotion
78,292,2023-08-10,Healthcare Representative,Senior Healthcare Rep,49990,56935,Performance-based promotion
79,294,2023-04-20,Healthcare Representative,Senior Healthcare Rep,138720,153601,Performance-based promotion
80,301,2023-06-17,Sales Executive,Sales Manager,165835,189638,Performance-based promotion
81,305,2023-12-12,Laboratory Technician,Senior Lab Technician,28710,32761,Performance-based promotion
82,307,2023-06-03,Healthcare Representative,Senior Healthcare Rep,60740,75062,Performance-based promotion
83,320,2023-05-16,Manufacturing Director,VP Manufacturing,61720,72501,Performance-based promotion
84,321,2023-09-16,Research Scientist,Senior Research Scientist,23680,27810,Performance-based promotion
85,325,2023-09-15,Manufacturing Director,VP Manufacturing,65670,75144,Performance-based promotion
86,327,2023-03-19,Manufacturing Director,VP Manufacturing,92080,111467,Performance-based promotion
87,333,2023-06-21,Manufacturing Director,VP Manufacturing,59020,68196,Performance-based promotion
88,335,2023-01-02,Manager,Senior Manager,63470,76068,Performance-based promotion
89,338,2023-02-12,Research Scientist,Senior Research Scientist,43170,49747,Performance-based promotion
90,343,2023-03-26,Manufacturing Director,VP Manufacturing,165835,192946,Performance-based promotion
91,347,2023-05-10,Sales Representative,Sales Executive,72950,81432,Performance-based promotion
92,350,2023-07-27,Healthcare Representative,Senior Healthcare Rep,89980,106351,Performance-based promotion
93,351,2023-10-17,Manufacturing Director,VP Manufacturing,43190,49325,Performance-based promotion
94,355,2023-07-05,Sales Executive,Sales Manager,22310,26578,Performance-based promotion
95,359,2023-01-13,Research Scientist,Senior Research Scientist,94390,109479,Performance-based promotion
96,364,2023-06-10,Manager,Senior Manager,86860,104771,Performance-based promotion
97,378,2023-07-27,Healthcare Representative,Senior Healthcare Rep,31400,36572,Performance-based promotion
98,379,2023-07-06,Laboratory Technician,Senior Lab Technician,36900,43844,Performance-based promotion
99,383,2023-12-14,Healthcare Representative,Senior Healthcare Rep,165835,188023,Performance-based promotion
100,384,2023-04-15,Research Scientist,Senior Research Scientist,95470,106916,Performance-based promotion
101,390,2023-06-02,Healthcare Representative,Senior Healthcare Rep,165835,196325,Performance-based promotion
102,392,2023-01-08,Sales Executive,Sales Manager,44250,54056,Performance-based promotion
103,394,2023-05-03,Research Director,VP Research,65530,79109,Performance-based promotion
104,396,2023-01-09,Laboratory Technician,Senior Lab Technician,42980,52667,Performance-based promotion
105,401,2023-09-12,Manufacturing Director,VP Manufacturing,76390,95166,Performance-based promotion
106,407,2023-10-13,Laboratory Technician,Senior Lab Technician,84740,97489,Performance-based promotion
107,418,2023-02-20,Sales Representative,Sales Executive,121850,149214,Performance-based promotion
108,424,2023-12-01,Sales Executive,Sales Manager,87890,104182,Performance-based promotion
109,430,2023-10-01,Healthcare Representative,Senior Healthcare Rep,24360,28378,Performance-based promotion
110,433,2023-12-25,Research Director,VP Research,165835,206981,Performance-based promotion
111,435,2023-05-24,Laboratory Technician,Senior Lab Technician,37300,46089,Performance-based promotion
112,436,2023-05-26,Sales Executive,Sales Manager,22320,26986,Performance-based promotion
113,438,2023-05-15,Human Resources,HR Manager,30720,36524,Performance-based promotion
114,442,2023-06-02,Laboratory Technician,Senior Lab Technician,29110,35174,Performance-based promotion
115,444,2023-11-04,Manager,Senior Manager,39200,45778,Performance-based promotion
116,445,2023-10-03,Sales Executive,Sales Manager,64340,79661,Performance-based promotion
117,453,2023-02-16,Research Director,VP Research,165835,189519,Performance-based promotion
118,467,2023-12-22,Healthcare Representative,Senior Healthcare Rep,118490,140266,Performance-based promotion
119,472,2023-11-21,Manufacturing Director,VP Manufacturing,119960,132420,Performance-based promotion
120,479,2023-05-08,Research Director,VP Research,54150,67553,Performance-based promotion
121,481,2023-10-14,Human Resources,HR Manager,21150,23287,Performance-based promotion
122,486,2023-03-21,Laboratory Technician,Senior Lab Technician,165835,205124,Performance-based promotion
123,488,2023-04-25,Sales Executive,Sales Manager,27890,32513,Performance-based promotion
124,489,2023-11-14,Research Scientist,Senior Research Scientist,58280,66667,Performance-based promotion
125,492,2023-10-16,Human Resources,HR Manager,14200,17050,Performance-based promotion
126,493,2023-07-06,Healthcare Representative,Senior Healthcare Rep,80200,90095,Performance-based promotion
127,495,2023-02-25,Sales Executive,Sales Manager,54820,68491,Performance-based promotion
128,499,2023-02-27,Manager,Senior Manager,69290,79504,Performance-based promotion
129,503,2023-05-26,Research Scientist,Senior Research Scientist,120610,150184,Performance-based promotion
130,509,2023-05-03,Sales Executive,Sales Manager,118780,147183,Performance-based promotion
131,511,2023-01-04,Sales Executive,Sales Manager,24550,28987,Performance-based promotion
132,514,2023-07-11,Manufacturing Director,VP Manufacturing,24780,27364,Performance-based promotion
133,516,2023-05-25,Human Resources,HR Manager,44780,52794,Performance-based promotion
134,517,2023-11-09,Manager,Senior Manager,75470,90981,Performance-based promotion
135,528,2023-01-24,Sales Executive,Sales Manager,48690,56438,Performance-based promotion
136,532,2023-06-26,Sales Executive,Sales Manager,21190,25447,Performance-based promotion
137,534,2023-01-02,Sales Representative,Sales Executive,61180,76187,Performance-based promotion
138,535,2023-08-03,Sales Executive,Sales Manager,62140,77165,Performance-based promotion
139,539,2023-02-12,Research Scientist,Senior Research Scientist,82680,91613,Performance-based promotion
140,542,2023-06-23,Research Scientist,Senior Research Scientist,60320,70091,Performance-based promotion
141,548,2023-10-21,Human Resources,HR Manager,125040,139918,Performance-based promotion
142,549,2023-02-17,Sales Executive,Sales Manager,59740,71575,Performance-based promotion
143,553,2023-12-20,Sales Executive,Sales Manager,21740,26444,Performance-based promotion
144,556,2023-12-08,Healthcare Representative,Senior Healthcare Rep,67550,75508,Performance-based promotion
145,557,2023-08-19,Healthcare Representative,Senior Healthcare Rep,22130,25141,Performance-based promotion
146,569,2023-06-13,Human Resources,HR Manager,38160,44802,Performance-based promotion
147,579,2023-02-26,Sales Executive,Sales Manager,22440,27892,Performance-based promotion
148,581,2023-04-22,Laboratory Technician,Senior Lab Technician,22850,25232,Performance-based promotion
149,589,2023-01-08,Research Scientist,Senior Research Scientist,65380,72830,Performance-based promotion
150,590,2023-08-26,Research Director,VP Research,43060,52635,Performance-based promotion
151,594,2023-07-14,Healthcare Representative,Senior Healthcare Rep,44490,49408,Performance-based promotion
152,598,2023-02-04,Research Scientist,Senior Research Scientist,65770,80829,Performance-based promotion
153,601,2023-12-26,Research Director,VP Research,40310,47257,Performance-based promotion
154,604,2023-03-03,Research Scientist,Senior Research Scientist,165550,202926,Performance-based promotion
155,611,2023-02-11,Research Scientist,Senior Research Scientist,23510,28788,Performance-based promotion
156,617,2023-03-23,Sales Executive,Sales Manager,25460,28426,Performance-based promotion
157,618,2023-03-11,Research Scientist,Senior Research Scientist,25640,30283,Performance-based promotion
158,625,2023-03-03,Healthcare Representative,Senior Healthcare Rep,165835,183378,Performance-based promotion
159,626,2023-11-12,Research Scientist,Senior Research Scientist,42300,50039,Performance-based promotion
160,629,2023-02-06,Research Scientist,Senior Research Scientist,90710,104510,Performance-based promotion
161,631,2023-02-09,Sales Executive,Sales Manager,136100,159669,Performance-based promotion
162,632,2023-05-08,Manufacturing Director,VP Manufacturing,34080,38746,Performance-based promotion
163,634,2023-09-04,Laboratory Technician,Senior Lab Technician,76320,88906,Performance-based promotion
164,650,2023-04-26,Laboratory Technician,Senior Lab Technician,42620,51461,Performance-based promotion
165,657,2023-05-24,Manager,Senior Manager,48590,54527,Performance-based promotion
166,661,2023-01-17,Research Director,VP Research,105270,124253,Performance-based promotion
167,662,2023-02-16,Research Scientist,Senior Research Scientist,165835,184279,Performance-based promotion
168,663,2023-02-24,Research Scientist,Senior Research Scientist,88340,110164,Performance-based promotion
169,665,2023-10-24,Research Scientist,Senior Research Scientist,47070,52990,Performance-based promotion
170,669,2023-01-04,Laboratory Technician,Senior Lab Technician,165835,204807,Performance-based promotion
171,670,2023-07-15,Healthcare Representative,Senior Healthcare Rep,27250,31526,Performance-based promotion
172,673,2023-07-06,Research Scientist,Senior Research Scientist,165835,201586,Performance-based promotion
173,675,2023-11-02,Sales Representative,Sales Executive,28860,32759,Performance-based promotion
174,680,2023-10-21,Laboratory Technician,Senior Lab Technician,54600,61559,Performance-based promotion
175,684,2023-08-13,Research Director,VP Research,40890,50124,Performance-based promotion
176,686,2023-06-17,Research Scientist,Senior Research Scientist,26190,30989,Performance-based promotion
177,687,2023-10-09,Sales Executive,Sales Manager,56790,63043,Performance-based promotion
178,690,2023-10-10,Laboratory Technician,Senior Lab Technician,25790,31441,Performance-based promotion
179,693,2023-10-27,Sales Executive,Sales Manager,165835,186004,Performance-based promotion
180,694,2023-09-06,Research Director,VP Research,27730,31415,Performance-based promotion
181,698,2023-03-20,Manufacturing Director,VP Manufacturing,83810,95715,Performance-based promotion
182,699,2023-09-03,Manufacturing Director,VP Manufacturing,26910,31872,Performance-based promotion
183,702,2023-02-07,Sales Executive,Sales Manager,94340,110575,Performance-based promotion
184,707,2023-05-22,Research Scientist,Senior Research Scientist,88470,100393,Performance-based promotion
185,709,2023-09-25,Sales Executive,Sales Manager,10090,12186,Performance-based promotion
186,711,2023-11-05,Research Scientist,Senior Research Scientist,12810,14884,Performance-based promotion
187,718,2023-10-10,Human Resources,HR Manager,46800,56988,Performance-based promotion
188,719,2023-08-10,Laboratory Technician,Senior Lab Technician,32210,37201,Performance-based promotion
189,721,2023-01-26,Sales Executive,Sales Manager,45770,55846,Performance-based promotion
190,722,2023-02-06,Research Scientist,Senior Research Scientist,45530,56252,Performance-based promotion
191,724,2023-12-07,Manufacturing Director,VP Manufacturing,67960,78578,Performance-based promotion
192,726,2023-12-17,Laboratory Technician,Senior Lab Technician,74120,85861,Performance-based promotion
193,728,2023-07-10,Sales Executive,Sales Manager,49600,54669,Performance-based promotion
194,730,2023-05-15,Sales Executive,Sales Manager,148140,181022,Performance-based promotion
195,731,2023-08-01,Sales Executive,Sales Manager,165835,203579,Performance-based promotion
196,739,2023-05-20,Human Resources,HR Manager,37080,44344,Performance-based promotion
197,740,2023-06-20,Research Scientist,Senior Research Scientist,137700,164290,Performance-based promotion
198,750,2023-01-11,Laboratory Technician,Senior Lab Technician,68110,83110,Performance-based promotion
199,751,2023-04-24,Manager,Senior Manager,22970,25644,Performance-based promotion
200,767,2023-01-07,Laboratory Technician,Senior Lab Technician,43640,50924,Performance-based promotion
201,773,2023-10-01,Human Resources,HR Manager,27820,30681,Performance-based promotion
202,774,2023-04-25,Manufacturing Director,VP Manufacturing,59800,72904,Performance-based promotion
203,776,2023-05-01,Sales Executive,Sales Manager,25720,28745,Performance-based promotion
204,783,2023-07-10,Sales Executive,Sales Manager,31490,36269,Performance-based promotion
205,786,2023-05-04,Manager,Senior Manager,116910,135067,Performance-based promotion
206,791,2023-02-27,Sales Representative,Sales Executive,165835,200128,Performance-based promotion
207,793,2023-02-15,Sales Executive,Sales Manager,60620,69304,Performance-based promotion
208,798,2023-03-19,Sales Representative,Sales Executive,68770,83845,Performance-based promotion
209,801,2023-02-01,Research Scientist,Senior Research Scientist,62880,70988,Performance-based promotion
210,821,2023-12-05,Sales Representative,Sales Executive,107610,133061,Performance-based promotion
211,823,2023-07-09,Manufacturing Director,VP Manufacturing,138260,154958,Performance-based promotion
212,824,2023-12-11,Research Scientist,Senior Research Scientist,63340,74471,Performance-based promotion
213,827,2023-08-18,Manufacturing Director,VP Manufacturing,28180,34442,Performance-based promotion
214,828,2023-05-27,Healthcare Representative,Senior Healthcare Rep,25150,30840,Performance-based promotion
215,829,2023-01-23,Manager,Senior Manager,23420,26267,Performance-based promotion
216,830,2023-03-25,Research Scientist,Senior Research Scientist,41940,52056,Performance-based promotion
217,832,2023-08-05,Research Scientist,Senior Research Scientist,20220,25165,Performance-based promotion
218,836,2023-07-26,Manufacturing Director,VP Manufacturing,31620,37609,Performance-based promotion
219,837,2023-08-17,Manufacturing Director,VP Manufacturing,65240,73215,Performance-based promotion
220,838,2023-03-02,Manufacturing Director,VP Manufacturing,28990,32160,Performance-based promotion
221,839,2023-08-17,Manufacturing Director,VP Manufacturing,52310,59723,Performance-based promotion
222,842,2023-12-27,Laboratory Technician,Senior Lab Technician,118360,133431,Performance-based promotion
223,843,2023-06-14,Healthcare Representative,Senior Healthcare Rep,109030,123712,Performance-based promotion
224,846,2023-06-18,Laboratory Technician,Senior Lab Technician,55620,61710,Performance-based promotion
225,849,2023-11-15,Sales Executive,Sales Manager,165835,201510,Performance-based promotion
226,857,2023-05-20,Sales Executive,Sales Manager,47650,59329,Performance-based promotion
227,862,2023-11-12,Sales Executive,Sales Manager,41710,46703,Performance-based promotion
228,867,2023-01-03,Sales Executive,Sales Manager,20080,24964,Performance-based promotion
229,873,2023-03-16,Laboratory Technician,Senior Lab Technician,74030,87822,Performance-based promotion
230,874,2023-12-03,Manager,Senior Manager,22590,26438,Performance-based promotion
231,881,2023-09-26,Research Scientist,Senior Research Scientist,42940,47937,Performance-based promotion
232,886,2023-11-21,Manufacturing Director,VP Manufacturing,58550,68600,Performance-based promotion
233,889,2023-10-08,Manufacturing Director,VP Manufacturing,103250,122379,Performance-based promotion
234,891,2023-06-06,Research Scientist,Senior Research Scientist,106090,130284,Performance-based promotion
235,899,2023-06-04,Laboratory Technician,Senior Lab Technician,56660,63402,Performance-based promotion
236,902,2023-03-11,Manager,Senior Manager,131940,160001,Performance-based promotion
237,903,2023-08-09,Laboratory Technician,Senior Lab Technician,50670,60686,Performance-based promotion
238,905,2023-06-12,Healthcare Representative,Senior Healthcare Rep,23210,28429,Performance-based promotion
239,906,2023-06-11,Healthcare Representative,Senior Healthcare Rep,165835,206302,Performance-based promotion
240,907,2023-09-09,Healthcare Representative,Senior Healthcare Rep,24040,28877,Performance-based promotion
241,922,2023-08-25,Laboratory Technician,Senior Lab Technician,41480,49013,Performance-based promotion
242,927,2023-07-09,Laboratory Technician,Senior Lab Technician,26000,30339,Performance-based promotion
243,928,2023-01-20,Research Scientist,Senior Research Scientist,24220,30158,Performance-based promotion
244,929,2023-03-05,Research Director,VP Research,54720,63553,Performance-based promotion
245,936,2023-11-10,Sales Executive,Sales Manager,39170,45347,Performance-based promotion
246,947,2023-02-04,Healthcare Representative,Senior Healthcare Rep,63470,70466,Performance-based promotion
247,949,2023-12-17,Human Resources,HR Manager,108800,121413,Performance-based promotion
248,951,2023-11-08,Research Scientist,Senior Research Scientist,165835,204015,Performance-based promotion
249,955,2023-07-25,Healthcare Representative,Senior Healthcare Rep,21770,24515,Performance-based promotion
250,957,2023-08-22,Research Scientist,Senior Research Scientist,48340,59417,Performance-based promotion
251,959,2023-12-11,Sales Executive,Sales Manager,22200,26143,Performance-based promotion
252,961,2023-02-06,Research Scientist,Senior Research Scientist,28210,33528,Performance-based promotion
253,963,2023-08-22,Research Scientist,Senior Research Scientist,41070,50214,Performance-based promotion
254,964,2023-05-04,Manufacturing Director,VP Manufacturing,83960,96178,Performance-based promotion
255,966,2023-04-02,Sales Executive,Sales Manager,165835,183993,Performance-based promotion
256,968,2023-07-22,Research Director,VP Research,29420,36627,Performance-based promotion
257,983,2023-01-12,Manufacturing Director,VP Manufacturing,109760,130020,Performance-based promotion
258,985,2023-06-22,Manufacturing Director,VP Manufacturing,104820,130638,Performance-based promotion
259,1017,2023-12-04,Sales Executive,Sales Manager,131200,155849,Performance-based promotion
260,1021,2023-10-23,Research Scientist,Senior Research Scientist,50560,56995,Performance-based promotion
261,1023,2023-03-22,Sales Executive,Sales Manager,27030,31249,Performance-based promotion
262,1024,2023-02-15,Research Scientist,Senior Research Scientist,19040,23355,Performance-based promotion
263,1025,2023-04-04,Laboratory Technician,Senior Lab Technician,82240,97926,Performance-based promotion
264,1032,2023-12-16,Sales Executive,Sales Manager,73360,86584,Performance-based promotion
265,1038,2023-08-02,Laboratory Technician,Senior Lab Technician,25150,30898,Performance-based promotion
266,1041,2023-02-01,Sales Executive,Sales Manager,44220,53119,Performance-based promotion
267,1043,2023-01-23,Laboratory Technician,Senior Lab Technician,53430,65025,Performance-based promotion
268,1044,2023-02-19,Laboratory Technician,Senior Lab Technician,23760,27014,Performance-based promotion
269,1046,2023-08-26,Research Scientist,Senior Research Scientist,28270,34422,Performance-based promotion
270,1047,2023-10-01,Manager,Senior Manager,165835,196082,Performance-based promotion
271,1057,2023-06-26,Research Scientist,Senior Research Scientist,165835,193037,Performance-based promotion
272,1059,2023-02-13,Research Director,VP Research,36000,39971,Performance-based promotion
273,1061,2023-08-20,Human Resources,HR Manager,41150,48046,Performance-based promotion
274,1063,2023-05-05,Manager,Senior Manager,165835,191608,Performance-based promotion
275,1065,2023-09-04,Laboratory Technician,Senior Lab Technician,165835,202399,Performance-based promotion
276,1071,2023-12-10,Research Scientist,Senior Research Scientist,45410,54800,Performance-based promotion
277,1073,2023-07-18,Manufacturing Director,VP Manufacturing,73790,86623,Performance-based promotion
278,1074,2023-04-11,Manager,Senior Manager,62720,71656,Performance-based promotion
279,1077,2023-07-02,Healthcare Representative,Senior Healthcare Rep,49980,59119,Performance-based promotion
280,1089,2023-11-16,Sales Executive,Sales Manager,37600,43138,Performance-based promotion
281,1091,2023-06-13,Sales Executive,Sales Manager,68330,78326,Performance-based promotion
282,1094,2023-11-19,Research Director,VP Research,165835,184570,Performance-based promotion
283,1096,2023-02-12,Sales Representative,Sales Executive,36920,42380,Performance-based promotion
284,1100,2023-11-13,Sales Executive,Sales Manager,165835,207138,Performance-based promotion
285,1104,2023-08-17,Healthcare Representative,Senior Healthcare Rep,83800,100131,Performance-based promotion
286,1111,2023-04-14,Manufacturing Director,VP Manufacturing,26250,29140,Performance-based promotion
287,1115,2023-07-01,Laboratory Technician,Senior Lab Technician,105120,117641,Performance-based promotion
288,1120,2023-05-13,Research Scientist,Senior Research Scientist,35060,43083,Performance-based promotion
289,1129,2023-03-23,Research Scientist,Senior Research Scientist,20800,22966,Performance-based promotion
290,1132,2023-04-08,Human Resources,HR Manager,165835,205370,Performance-based promotion
291,1146,2023-11-19,Sales Executive,Sales Manager,98520,113592,Performance-based promotion
292,1147,2023-07-02,Research Scientist,Senior Research Scientist,61510,68573,Performance-based promotion
293,1148,2023-10-19,Healthcare Representative,Senior Healthcare Rep,23020,25831,Performance-based promotion
294,1152,2023-08-22,Research Scientist,Senior Research Scientist,165835,201504,Performance-based promotion
295,1153,2023-11-15,Research Scientist,Senior Research Scientist,35440,44124,Performance-based promotion
296,1157,2023-11-16,Sales Executive,Sales Manager,42490,48442,Performance-based promotion
297,1159,2023-10-18,Sales Executive,Sales Manager,68930,85507,Performance-based promotion
298,1161,2023-08-12,Research Scientist,Senior Research Scientist,36690,41412,Performance-based promotion
299,1164,2023-03-25,Sales Executive,Sales Manager,46390,55401,Performance-based promotion
300,1168,2023-09-09,Healthcare Representative,Senior Healthcare Rep,16110,17939,Performance-based promotion
301,1169,2023-06-02,Manufacturing Director,VP Manufacturing,53630,61715,Performance-based promotion
302,1174,2023-10-18,Manager,Senior Manager,63770,75842,Performance-based promotion
303,1175,2023-11-24,Sales Executive,Sales Manager,54290,61193,Performance-based promotion
304,1182,2023-10-01,Laboratory Technician,Senior Lab Technician,61200,76207,Performance-based promotion
305,1186,2023-09-08,Research Scientist,Senior Research Scientist,99980,121089,Performance-based promotion
306,1187,2023-03-08,Sales Executive,Sales Manager,40780,45472,Performance-based promotion
307,1190,2023-05-08,Human Resources,HR Manager,132470,154355,Performance-based promotion
308,1205,2023-11-21,Sales Executive,Sales Manager,165835,202114,Performance-based promotion
309,1216,2023-05-10,Research Scientist,Senior Research Scientist,34200,40645,Performance-based promotion
310,1218,2023-01-01,Research Scientist,Senior Research Scientist,35000,43444,Performance-based promotion
311,1222,2023-01-08,Sales Executive,Sales Manager,92040,110189,Performance-based promotion
312,1225,2023-11-09,Laboratory Technician,Senior Lab Technician,39750,48372,Performance-based promotion
313,1228,2023-07-25,Laboratory Technician,Senior Lab Technician,36460,42447,Performance-based promotion
314,1231,2023-09-05,Manager,Senior Manager,21090,25863,Performance-based promotion
315,1238,2023-02-18,Human Resources,HR Manager,31620,36271,Performance-based promotion
316,1239,2023-09-18,Manufacturing Director,VP Manufacturing,165835,200560,Performance-based promotion
317,1240,2023-06-20,Laboratory Technician,Senior Lab Technician,66510,82329,Performance-based promotion
318,1241,2023-08-24,Manufacturing Director,VP Manufacturing,23450,28004,Performance-based promotion
319,1257,2023-01-20,Research Scientist,Senior Research Scientist,20330,23244,Performance-based promotion
320,1258,2023-05-24,Sales Executive,Sales Manager,102090,118871,Performance-based promotion
321,1259,2023-11-20,Research Scientist,Senior Research Scientist,86200,98412,Performance-based promotion
322,1268,2023-06-17,Human Resources,HR Manager,31800,37085,Performance-based promotion
323,1273,2023-09-24,Sales Executive,Sales Manager,23620,28434,Performance-based promotion
324,1274,2023-05-15,Manufacturing Director,VP Manufacturing,163280,203950,Performance-based promotion
325,1275,2023-08-11,Research Scientist,Senior Research Scientist,83760,103869,Performance-based promotion
326,1276,2023-04-19,Laboratory Technician,Senior Lab Technician,165835,183107,Performance-based promotion
327,1277,2023-07-27,Sales Executive,Sales Manager,86060,99640,Performance-based promotion
328,1293,2023-09-22,Human Resources,HR Manager,22960,26673,Performance-based promotion
329,1301,2023-11-14,Sales Representative,Sales Executive,63920,76790,Performance-based promotion
