EmployeeID,JobInvolvement,PerformanceRating,ManagerRating,LeadershipScore,CommunicationScore
104,3,3,3,3.5,1.34
105,1,3,2,2.8,4.16
106,1,4,2,2.57,1.96
107,4,3,2,2.52,2.13
108,3,3,5,2.67,1.73
109,4,3,4,1.52,4.9
110,3,3,1,2.7,4.12
111,2,4,5,2.56,4.72
112,3,4,1,1.14,4.45
113,3,3,3,2.1,4.63
114,4,3,1,4.01,2.92
115,3,3,2,3.31,1.68
116,3,3,4,4.22,2.31
117,2,3,5,3.17,2.17
118,3,3,5,4.42,3.87
119,3,4,5,4.18,1.1
120,3,3,2,1.39,1.57
121,3,4,1,4.91,3.73
122,3,3,5,1.06,1.49
123,3,3,5,3.39,1.19
124,3,3,2,4.17,1.44
125,3,3,1,2.33,3.76
126,2,3,4,3.39,1.56
127,3,3,1,2.45,1.59
128,2,3,1,1.24,1.92
129,3,3,5,1.03,4.0
130,2,3,3,1.38,1.8
131,2,3,1,1.39,1.14
132,2,3,4,3.44,4.62
133,3,3,2,3.1,4.51
134,2,3,3,2.82,1.74
135,2,4,5,3.77,2.06
136,3,4,2,1.07,1.75
137,2,3,4,2.08,3.88
138,2,3,5,4.11,2.0
139,3,3,3,4.64,4.73
140,4,3,5,2.75,4.31
141,2,4,3,1.33,3.35
142,3,3,3,4.19,1.04
143,1,4,5,4.54,4.53
144,3,3,4,2.65,3.91
145,3,3,5,1.97,4.15
146,2,3,4,1.18,1.29
147,2,3,4,3.36,3.83
148,3,3,2,4.64,4.22
149,2,4,2,3.71,4.83
150,3,3,5,2.27,3.32
151,3,3,4,3.57,3.03
152,2,3,2,4.33,2.7
153,3,4,2,2.9,3.81
154,3,3,4,4.28,4.68
155,2,3,1,2.57,3.4
156,3,3,1,2.39,1.91
157,2,3,4,3.33,1.07
158,3,4,2,2.86,3.48
159,3,3,4,4.91,4.46
160,2,3,3,3.07,1.26
161,4,4,5,2.54,2.59
162,2,3,3,2.58,4.76
163,3,3,5,3.19,3.01
164,2,3,5,2.42,1.88
165,3,3,2,3.89,2.41
166,3,3,5,2.52,2.63
167,3,3,4,2.54,1.47
168,3,3,1,3.47,3.64
169,3,4,1,1.24,3.37
170,3,4,2,3.62,3.59
171,2,3,1,3.02,3.44
172,2,4,2,2.81,1.07
173,3,3,5,3.88,1.7
174,3,3,3,4.03,1.66
175,4,3,1,4.39,1.39
176,2,3,3,2.5,3.94
177,3,3,2,2.31,1.48
178,2,4,5,3.86,3.67
179,3,4,1,3.33,1.71
180,3,3,4,3.53,1.47
181,1,4,3,3.22,1.65
182,2,3,1,4.09,3.03
183,4,4,4,1.76,3.58
184,2,3,3,3.22,4.25
185,3,3,4,1.63,1.51
186,3,3,4,2.63,3.46
187,3,3,4,3.66,4.1
188,3,3,3,2.97,2.25
189,2,3,1,2.52,1.32
190,2,3,1,4.54,1.62
191,3,3,3,4.09,1.37
192,3,3,2,3.11,4.55
193,2,3,4,4.8,2.51
194,3,3,3,2.7,3.09
195,3,4,5,4.15,4.07
196,3,3,1,1.67,2.49
197,2,3,2,2.14,3.6
198,3,3,4,2.35,1.31
199,3,3,1,1.42,2.92
200,4,3,2,3.01,1.39
201,2,3,4,1.77,1.99
202,2,3,3,3.54,2.17
203,2,3,4,1.76,3.87
204,2,3,3,1.49,3.7
205,2,3,5,4.88,3.99
206,1,4,5,3.63,1.25
207,3,3,5,4.75,4.98
208,3,3,1,2.96,1.22
209,3,3,3,1.13,4.3
210,3,3,1,3.3,3.96
211,3,3,2,3.23,3.37
212,2,4,2,1.06,2.76
213,2,3,4,4.44,4.03
214,3,3,3,3.48,3.96
215,3,3,5,3.98,1.55
216,1,3,2,2.98,4.17
217,2,3,4,3.47,1.31
218,3,3,4,2.03,3.0
219,1,3,5,4.9,3.58
220,3,3,2,2.6,4.29
221,2,3,4,1.65,2.85
222,3,4,1,1.22,1.95
223,3,3,3,3.54,2.96
224,3,3,3,4.93,2.0
225,2,3,5,4.58,3.11
226,3,3,4,3.81,2.85
227,3,3,5,4.96,4.12
228,3,3,5,3.89,1.96
229,3,3,3,2.36,1.8
230,1,3,4,3.4,2.9
231,3,3,1,1.32,1.2
232,3,3,3,1.89,1.92
233,4,3,1,2.67,2.41
234,3,3,4,1.81,2.95
235,4,3,5,4.81,2.08
236,4,4,4,4.98,3.24
237,2,4,5,2.48,4.51
238,3,3,2,3.84,3.17
239,1,3,5,2.63,2.15
240,3,3,3,1.56,1.25
241,2,3,4,2.35,1.55
242,3,3,4,1.93,3.24
243,3,3,4,2.31,3.73
244,3,3,2,1.86,1.2
245,2,3,4,1.45,1.74
246,3,3,4,1.87,2.28
247,3,3,5,4.62,2.28
248,4,3,3,1.34,4.83
249,2,3,3,2.3,1.82
250,3,3,3,3.11,1.25
251,3,3,1,2.42,2.41
252,3,4,1,3.07,1.54
253,2,3,1,1.17,1.51
254,2,3,4,3.59,2.63
255,1,3,3,3.25,2.23
256,2,3,5,3.72,1.37
257,3,3,4,3.27,3.42
258,4,3,1,2.75,3.01
259,3,3,1,2.4,1.31
260,3,3,2,1.91,4.45
261,2,4,5,3.0,2.14
262,2,3,1,1.1,4.85
263,4,3,1,2.31,4.73
264,3,3,1,3.71,2.74
265,4,3,3,1.43,1.91
266,4,3,5,1.25,4.34
267,3,4,4,3.61,2.45
268,1,3,3,2.59,1.65
269,3,3,1,4.21,3.21
270,1,3,2,4.75,2.96
271,2,3,3,4.83,4.4
272,2,3,2,2.7,3.92
273,2,4,4,2.06,4.5
274,3,3,5,3.43,3.94
275,3,3,2,3.51,3.57
276,3,3,2,3.49,3.0
277,3,3,1,2.29,4.95
278,3,4,4,1.26,4.84
279,4,4,3,1.84,4.4
280,2,3,2,1.62,4.1
281,3,3,2,1.5,3.31
282,4,4,1,4.71,2.04
283,2,3,3,1.06,4.5
284,3,3,4,3.41,1.04
285,3,3,2,4.79,1.91
286,2,3,1,2.44,2.61
287,2,4,3,3.11,3.34
288,3,3,4,3.78,3.24
289,3,3,2,2.27,1.7
290,3,4,2,2.91,1.42
291,3,3,1,4.27,1.89
292,4,3,4,3.98,2.39
293,3,3,5,4.23,1.06
294,2,3,4,4.95,3.77
295,3,3,3,2.48,1.99
296,3,3,4,3.99,2.41
297,3,3,2,3.41,2.34
298,2,3,1,3.67,3.05
299,3,3,2,3.96,4.44
300,3,3,4,4.0,1.6
301,1,3,4,4.54,2.36
302,3,3,5,2.4,3.77
303,2,3,5,3.61,1.18
304,3,3,2,2.12,4.32
305,3,3,1,3.38,4.85
306,3,3,2,4.0,3.43
307,3,3,5,4.16,4.83
308,1,3,5,2.68,2.65
309,3,3,1,3.03,2.66
310,3,3,1,2.34,1.42
311,3,3,3,1.68,1.14
312,1,3,4,2.04,1.98
313,3,3,5,4.65,2.91
314,3,3,4,2.24,3.03
315,3,3,2,4.9,1.87
316,3,3,1,1.97,3.45
317,3,3,4,3.89,1.72
318,3,3,3,3.3,2.3
319,3,3,5,3.79,1.78
320,3,3,3,3.58,3.79
321,3,3,3,3.83,3.07
322,3,3,2,4.62,3.94
323,2,3,1,3.25,1.23
324,3,3,5,1.27,2.7
325,4,3,5,2.08,4.87
326,3,4,1,3.83,1.21
327,4,3,4,2.98,2.67
328,2,3,2,3.19,1.16
329,3,3,3,3.39,1.59
330,2,3,5,2.53,2.85
331,1,3,5,4.1,1.63
332,4,3,1,3.89,3.08
333,3,3,2,3.86,4.69
334,2,3,5,3.86,1.8
335,4,3,5,4.56,1.43
336,3,4,1,3.38,4.3
337,2,3,5,4.87,2.84
338,3,3,3,1.48,4.53
339,4,3,3,3.53,2.22
340,3,3,1,3.87,3.51
341,2,3,4,2.91,4.69
342,3,3,4,2.15,1.69
343,2,3,4,3.2,4.2
344,3,3,4,2.46,3.53
345,3,3,5,4.64,4.25
346,3,3,5,2.43,1.68
347,3,3,4,1.7,2.74
348,3,3,5,3.31,1.52
349,3,3,4,2.58,4.84
350,4,3,4,1.38,1.25
351,4,3,3,3.26,1.26
352,2,3,4,3.15,4.59
353,2,4,1,1.69,2.2
354,3,3,3,3.39,3.39
355,2,3,3,3.27,2.15
356,3,3,5,4.09,3.6
357,3,4,1,2.45,1.77
358,3,3,4,2.0,2.84
359,3,3,1,4.8,3.13
360,3,3,5,3.24,2.33
361,4,3,5,1.11,2.01
362,2,3,2,4.28,1.56
363,2,4,5,1.79,3.82
364,3,3,3,4.14,1.67
365,3,4,5,3.82,2.17
366,3,3,4,4.88,2.35
367,4,3,1,4.86,2.82
368,3,3,2,2.1,3.81
369,1,3,3,4.07,2.71
370,3,3,2,2.27,4.48
371,3,3,1,3.52,3.72
372,3,3,5,3.39,4.35
373,2,3,5,1.22,3.87
374,3,3,3,1.02,1.59
375,2,3,2,1.23,4.91
376,2,4,1,1.51,4.15
377,3,3,5,2.03,3.29
378,2,3,2,4.63,1.66
379,4,3,1,3.07,1.69
380,3,3,2,4.19,3.46
381,3,3,3,4.35,2.66
382,3,3,4,3.94,3.7
383,3,4,2,2.57,2.49
384,2,3,5,4.46,3.05
385,4,3,4,3.97,1.75
386,3,4,5,3.97,1.62
387,3,3,2,4.61,1.3
388,3,3,4,3.39,4.28
389,2,3,2,3.11,3.22
390,4,3,4,4.56,4.79
391,1,3,4,2.82,4.0
392,4,4,2,4.25,4.08
393,3,3,5,1.22,3.04
394,3,3,5,1.01,4.26
395,3,3,5,3.11,4.77
396,3,4,2,1.29,3.89
397,2,3,4,4.91,1.42
398,3,3,1,1.02,3.6
399,2,3,1,3.87,1.48
400,4,3,5,1.97,1.31
401,3,3,1,4.87,3.77
402,3,3,5,2.53,4.34
403,3,3,3,1.11,1.64
404,3,3,2,1.11,1.3
405,1,3,1,3.21,4.55
406,3,3,4,4.95,1.53
407,3,3,4,4.92,1.14
408,3,4,3,2.35,3.88
409,3,3,5,2.93,4.39
410,4,3,2,1.4,3.06
411,3,4,3,3.09,3.16
412,3,3,2,3.4,2.35
413,3,3,3,2.0,1.95
414,3,3,1,3.45,4.02
415,2,3,3,4.6,4.4
416,3,3,3,1.0,2.28
417,3,4,3,1.92,2.1
418,3,3,3,1.84,2.07
419,3,4,4,1.5,1.2
420,2,3,3,1.66,2.12
421,3,3,2,3.5,1.1
422,3,3,2,1.41,4.15
423,2,3,4,3.95,2.02
424,3,3,5,4.55,3.76
425,2,3,4,4.71,3.17
426,2,3,4,3.64,4.35
427,3,3,5,1.79,4.84
428,2,3,5,1.34,2.47
429,3,3,3,1.93,1.35
430,1,3,1,4.85,4.0
431,3,3,4,4.85,1.09
432,3,3,4,2.53,1.89
433,3,3,2,2.3,1.21
434,2,3,5,3.04,4.59
435,3,4,5,2.17,1.02
436,3,3,2,4.92,2.97
437,3,3,3,1.88,2.7
438,2,3,1,2.48,3.61
439,3,3,1,2.72,2.16
440,3,3,2,1.5,4.49
441,2,3,2,2.53,3.94
442,3,3,2,4.43,2.73
443,1,3,1,1.56,2.43
444,3,3,3,3.34,4.26
445,2,3,4,2.63,4.03
446,3,4,2,1.68,2.6
447,1,3,3,1.05,2.37
448,2,3,2,2.09,1.16
449,3,3,4,1.25,1.33
450,3,3,4,2.51,1.22
451,3,3,5,4.24,1.1
452,3,4,1,3.88,1.61
453,3,3,5,4.79,4.43
454,2,3,2,2.71,4.19
455,3,3,1,3.83,4.38
456,3,3,4,3.66,3.5
457,2,4,1,1.87,3.5
458,2,3,1,2.21,1.5
459,3,3,5,3.12,3.8
460,3,3,2,4.19,2.12
461,4,3,3,2.85,3.08
462,3,3,2,1.91,4.82
463,2,3,1,4.97,4.48
464,3,3,1,1.46,1.93
465,2,3,1,4.82,3.95
466,3,3,3,4.24,1.42
467,3,3,3,4.36,1.11
468,2,3,1,4.18,1.11
469,3,3,2,1.83,1.68
470,3,3,2,3.53,3.78
471,3,3,3,4.03,2.45
472,3,3,5,3.98,1.06
473,2,3,4,2.09,4.95
474,3,3,5,1.72,3.13
475,3,3,1,2.31,2.58
476,3,4,2,2.92,3.08
477,3,4,4,3.3,3.08
478,3,3,2,4.35,2.88
479,3,3,5,4.08,3.45
480,3,3,3,3.7,4.54
481,4,3,2,2.05,2.21
482,3,3,5,2.92,2.95
483,3,3,3,2.34,1.01
484,4,3,5,1.94,4.44
485,4,4,3,1.04,2.22
486,2,3,1,2.36,2.09
487,4,3,4,2.02,4.99
488,2,3,1,3.29,3.34
489,3,3,4,1.25,1.49
490,4,3,3,2.08,2.06
491,2,3,4,1.18,2.41
492,4,3,5,3.57,4.94
493,3,3,3,3.27,2.72
494,2,3,5,2.35,1.92
495,3,3,1,1.59,3.28
496,4,3,1,4.83,2.62
497,3,3,5,3.34,1.22
498,2,3,3,3.72,4.44
499,1,4,3,3.13,1.06
500,2,3,1,4.23,4.59
501,3,3,2,4.59,4.17
502,3,4,4,2.53,1.3
503,4,4,5,3.76,3.89
504,3,3,5,1.92,4.08
505,3,3,3,3.61,3.41
506,2,3,3,2.6,3.31
507,4,3,1,1.03,1.2
508,1,3,1,4.82,1.24
509,3,3,3,4.47,3.91
510,3,4,3,2.16,1.42
511,3,3,1,4.99,1.97
512,2,3,3,2.27,3.0
513,2,3,4,2.84,1.66
514,3,3,5,4.41,4.16
515,3,3,5,2.22,4.23
516,3,3,2,2.8,4.37
517,2,3,2,3.66,1.2
518,2,4,5,1.52,2.71
519,2,4,4,2.69,4.39
520,3,3,2,2.24,2.45
521,3,3,4,3.71,3.78
522,3,4,1,1.54,3.36
523,2,3,3,1.93,2.39
524,1,3,2,3.85,2.11
525,3,3,5,1.62,3.61
526,4,3,1,2.69,1.53
527,3,3,5,3.85,4.44
528,3,3,2,4.06,3.31
529,2,3,1,1.38,1.45
530,3,3,4,4.41,3.81
531,4,3,4,3.9,2.72
532,3,3,1,2.36,1.82
533,3,3,1,4.06,4.84
534,2,4,1,3.91,3.88
535,3,3,3,3.4,3.37
536,3,3,1,3.23,4.4
537,3,3,4,3.94,3.18
538,2,4,1,5.0,2.77
539,2,3,4,3.31,1.76
540,4,3,5,4.23,1.61
541,3,3,4,3.98,2.73
542,2,3,5,4.42,2.82
543,3,3,5,4.82,3.93
544,3,3,1,1.77,2.77
545,2,3,2,1.66,3.37
546,3,4,4,3.35,4.33
547,3,3,2,2.8,4.97
548,3,3,4,3.28,2.29
549,3,3,4,4.19,4.61
550,2,3,5,4.73,4.22
551,4,3,2,2.67,1.27
552,3,3,2,3.87,2.34
553,3,3,1,1.79,1.88
554,3,4,2,3.14,3.66
555,3,3,2,1.09,3.22
556,3,3,3,3.02,2.98
557,3,3,3,3.18,4.05
558,2,3,5,3.94,2.33
559,3,3,4,3.6,2.53
560,4,3,4,2.43,4.46
561,3,3,1,1.02,4.89
562,3,3,3,1.46,4.11
563,3,3,4,4.89,1.87
564,2,4,2,4.69,1.45
565,2,3,3,2.3,1.84
566,1,3,4,2.04,2.69
567,4,3,4,2.75,1.95
568,1,4,5,3.76,4.6
569,2,3,3,2.43,3.68
570,3,3,2,1.27,2.67
571,4,3,2,2.61,2.1
572,2,3,4,2.04,2.52
573,3,3,3,2.3,2.9
574,4,3,3,1.65,3.86
575,3,3,1,3.64,1.36
576,3,3,3,3.11,4.4
577,3,3,2,2.08,1.51
578,2,3,3,3.22,2.05
579,1,3,5,2.97,4.97
580,1,3,4,4.18,1.76
581,1,3,3,4.82,1.4
582,2,4,5,1.52,3.55
583,3,4,5,4.54,2.57
584,3,3,3,3.82,1.37
585,1,3,4,3.77,1.01
586,3,4,2,2.5,1.32
587,3,3,5,2.38,3.09
588,3,4,2,1.02,1.92
589,3,3,2,4.93,4.11
590,3,3,1,3.43,4.43
591,3,3,5,2.61,1.58
592,3,3,2,3.18,2.35
593,2,3,5,1.16,1.59
594,1,3,1,1.69,2.15
595,3,4,3,3.49,1.96
596,3,3,3,3.06,4.15
597,3,3,3,4.15,2.38
598,1,3,1,3.63,2.98
599,3,3,1,3.41,3.7
600,1,3,2,4.26,4.29
601,2,3,3,1.27,2.2
602,3,3,4,3.76,1.84
603,2,4,3,3.86,4.91
604,3,3,2,2.1,2.28
605,3,3,2,1.78,3.68
606,1,3,4,1.86,3.71
607,4,3,3,1.79,3.06
608,2,3,5,3.1,1.91
609,4,3,3,1.54,1.57
610,3,4,3,3.64,2.95
611,3,3,1,1.42,3.04
612,3,4,1,1.11,4.09
613,2,4,5,2.28,3.84
614,3,3,2,1.77,4.65
615,2,3,3,4.95,4.88
616,4,3,3,2.21,3.91
617,3,3,1,1.89,1.31
618,1,3,3,1.79,2.62
619,2,3,2,2.5,3.44
620,3,4,1,3.42,3.36
621,2,3,3,4.13,1.73
622,3,3,3,2.46,3.33
623,3,3,1,3.5,2.4
624,3,3,3,2.93,2.36
625,2,3,4,4.39,4.34
626,3,3,2,3.28,2.69
627,1,3,5,2.16,3.11
628,3,4,4,3.81,3.25
629,2,3,4,4.28,3.25
630,3,3,1,2.86,1.85
631,2,4,4,4.95,3.4
632,3,4,2,4.52,2.34
633,2,3,4,1.79,3.62
634,3,4,5,4.15,1.58
635,3,3,2,3.4,4.98
636,3,4,2,3.14,4.09
637,3,3,1,3.06,2.67
638,3,3,4,4.41,2.21
639,4,3,4,3.44,2.55
640,3,3,3,3.15,3.88
641,3,3,1,1.2,3.62
642,2,3,2,2.79,3.81
643,3,3,3,4.63,4.56
644,4,3,5,3.85,2.83
645,3,3,1,1.2,3.68
646,3,3,2,4.54,2.77
647,3,3,4,4.31,3.55
648,3,3,2,3.19,2.9
649,3,3,5,1.09,4.11
650,3,3,5,3.25,1.02
651,4,3,2,1.22,1.86
652,3,4,4,2.28,2.19
653,3,3,4,3.52,4.78
654,3,3,4,4.65,3.03
655,3,3,1,2.43,2.46
656,3,3,1,4.44,2.62
657,4,4,2,4.67,2.81
658,3,3,1,1.08,4.47
659,1,3,2,1.96,4.85
660,2,3,4,3.84,4.38
661,3,3,3,4.03,4.37
662,3,4,2,2.57,1.8
663,3,3,1,3.63,2.07
664,3,3,2,3.45,3.38
665,1,3,3,3.96,3.62
666,3,3,4,3.87,1.81
667,3,3,2,1.34,3.99
668,3,3,2,1.63,1.8
669,4,3,3,1.53,2.05
670,2,4,1,4.73,2.23
671,3,3,2,4.65,4.38
672,3,3,1,4.19,3.93
673,3,3,3,1.47,3.12
674,3,3,3,3.3,4.28
675,3,3,3,1.75,4.25
676,3,3,4,2.47,2.56
677,3,4,2,2.07,4.13
678,3,3,5,4.32,1.82
679,3,3,5,1.58,3.01
680,3,3,1,3.58,1.47
681,1,3,5,4.94,2.71
682,3,3,1,3.75,3.08
683,2,4,2,1.32,1.32
684,4,3,3,4.63,2.85
685,2,3,1,3.57,3.61
686,2,3,2,2.83,3.46
687,2,3,1,3.64,1.22
688,2,4,3,4.52,1.38
689,2,3,5,2.91,2.41
690,3,3,5,3.13,4.37
691,2,3,2,2.81,4.48
692,3,3,3,1.29,2.24
693,2,3,3,4.15,3.88
694,3,3,3,1.51,3.31
695,3,3,4,2.58,4.93
696,3,3,5,2.55,1.38
697,2,3,3,2.12,3.19
698,3,3,1,2.61,3.37
699,3,3,5,3.47,2.23
700,3,3,5,2.25,1.19
701,3,4,2,1.69,1.21
702,2,3,3,4.48,2.81
703,2,3,5,4.88,3.77
704,2,3,3,2.83,3.8
705,3,3,3,2.31,1.72
706,2,3,5,1.19,4.43
707,4,3,5,1.15,2.51
708,3,3,3,2.57,4.86
709,4,3,1,4.72,1.47
710,1,4,3,3.92,4.35
711,3,3,4,2.4,4.63
712,2,4,2,4.87,4.29
713,3,3,3,2.72,4.24
714,3,3,4,2.11,2.45
715,3,4,1,2.71,3.85
716,2,3,3,1.85,3.32
717,4,3,4,4.54,2.7
718,4,3,2,2.44,4.97
719,3,3,3,3.63,2.16
720,3,3,4,2.56,2.65
721,2,3,1,4.61,4.61
722,4,3,4,3.57,2.16
723,1,3,2,2.95,1.61
724,3,3,2,1.53,2.24
725,2,3,4,4.61,4.04
726,3,4,1,3.19,4.44
727,3,3,1,2.14,1.46
728,2,3,3,4.51,3.49
729,3,3,5,1.22,3.27
730,2,3,1,2.26,3.68
731,3,3,4,3.15,3.68
732,4,3,1,2.36,4.84
733,3,3,3,2.91,2.39
734,3,3,3,2.06,2.2
735,3,3,3,1.52,3.32
736,2,3,1,1.15,2.72
737,3,3,4,1.63,2.9
738,3,3,2,4.81,1.28
739,3,3,4,3.3,1.59
740,4,3,4,2.96,4.74
741,3,4,3,2.54,1.27
742,3,3,2,3.83,3.36
743,3,3,4,1.57,4.02
744,3,3,5,2.1,1.05
745,3,3,5,3.62,1.89
746,1,3,5,2.92,2.51
747,2,4,2,4.08,3.03
748,2,3,3,4.59,2.37
749,3,3,2,4.29,3.6
750,3,3,5,1.74,1.91
751,2,3,5,1.37,1.1
752,3,3,5,1.68,1.01
753,3,3,1,4.13,2.38
754,3,3,2,4.66,2.45
755,3,3,4,4.7,4.79
756,3,3,4,2.19,1.18
757,3,3,2,4.36,3.12
758,4,3,1,3.14,3.31
759,1,3,1,4.29,3.8
760,3,3,4,3.19,3.55
761,2,3,3,1.58,1.03
762,3,3,3,1.32,3.53
763,3,3,5,4.83,2.29
764,2,3,1,2.7,4.09
765,3,4,4,2.4,1.75
766,3,3,2,2.43,3.86
767,3,3,5,2.52,3.5
768,3,3,5,4.78,3.61
769,3,3,3,1.25,1.7
770,3,3,2,1.48,3.68
771,3,3,2,4.16,3.95
772,2,3,1,3.2,2.96
773,3,3,5,1.51,2.36
774,3,3,1,1.14,1.67
775,2,3,3,1.9,2.16
776,3,3,3,2.04,4.06
777,3,3,4,1.06,2.64
778,3,3,5,1.86,3.81
779,3,4,3,3.95,3.96
780,3,3,4,4.42,3.7
781,3,3,3,4.59,3.69
782,3,3,3,2.56,3.44
783,2,3,1,2.28,3.07
784,3,3,2,5.0,1.79
785,2,3,3,4.08,4.37
786,3,4,1,3.15,4.86
787,1,3,2,2.02,2.87
788,3,3,3,2.29,4.73
789,4,3,3,3.06,4.99
790,3,3,5,3.17,2.94
791,3,3,5,1.05,3.9
792,3,4,4,4.84,3.58
793,3,4,1,3.3,1.95
794,3,3,3,3.36,1.19
795,3,3,4,1.85,2.81
796,2,3,3,4.06,4.15
797,3,3,3,3.95,2.3
798,3,4,3,1.38,4.14
799,3,4,3,3.38,3.62
800,3,3,3,3.63,3.78
801,3,3,1,4.34,2.14
802,2,3,3,1.82,2.88
803,2,3,2,4.51,1.73
804,1,3,4,2.85,1.99
805,2,4,5,1.39,1.36
806,3,3,3,1.42,1.51
807,3,3,2,1.79,1.84
808,3,3,5,2.13,3.32
809,3,4,4,2.99,2.76
810,2,3,3,4.0,2.07
811,3,3,1,1.75,4.44
812,2,3,1,4.97,3.1
813,3,3,2,1.65,4.69
814,3,3,2,3.4,3.54
815,1,3,4,4.72,1.06
816,2,3,3,4.33,4.65
817,2,3,5,3.59,4.43
818,2,4,3,3.86,3.54
819,2,3,5,1.54,3.14
820,3,3,3,1.04,2.81
821,2,3,2,2.74,2.93
822,4,3,4,1.36,4.08
823,2,3,3,2.43,3.05
824,4,3,2,1.89,1.7
825,2,3,3,4.67,1.23
826,4,3,4,4.52,1.5
827,3,3,2,4.28,2.01
828,2,3,4,3.86,2.47
829,2,3,5,1.62,4.57
830,3,3,3,1.19,1.96
831,3,3,2,3.62,2.28
832,3,3,3,3.57,1.89
833,4,3,5,2.48,3.18
834,3,3,1,2.89,3.47
835,2,4,5,2.96,3.13
836,3,3,3,1.96,4.81
837,4,3,5,2.26,4.98
838,2,3,4,2.67,4.35
839,3,3,4,3.41,4.22
840,3,3,5,4.82,2.46
841,2,3,1,3.15,3.32
842,4,4,3,3.92,2.41
843,4,3,1,4.23,4.14
844,4,4,2,1.45,1.69
845,2,3,1,3.61,1.87
846,3,3,4,2.93,1.15
847,4,3,4,3.29,3.44
848,2,4,4,1.15,3.75
849,3,3,1,4.62,1.01
850,3,3,2,4.81,3.04
851,3,3,4,1.01,2.51
852,3,3,5,1.85,4.17
853,1,3,5,1.72,1.16
854,3,4,1,4.13,1.19
855,2,3,3,3.39,3.48
856,3,3,1,1.71,3.37
857,3,3,5,4.26,4.32
858,3,3,1,2.41,3.37
859,2,3,5,2.84,4.8
860,3,3,1,2.55,2.26
861,3,3,1,3.09,2.59
862,4,4,5,2.92,4.91
863,2,3,3,2.1,1.43
864,3,3,3,2.7,4.18
865,2,3,4,4.63,1.05
866,4,3,2,3.01,2.95
867,3,3,4,4.67,1.61
868,3,4,3,3.2,3.4
869,1,3,2,4.08,4.19
